adhesivity,particle_size,volume_time_400_scaled,efficiency_time_400
0.0,0.02,0.9985673257681779,3.099843838154492e-05
0.0,0.04,1.002324344608213,-1.6424237957415237e-05
0.0,0.06,1.0022054247729635,1.1261485356836684e-05
0.0,0.08,0.9975302698976377,5.1672207966237766e-05
0.0,0.1,0.999831435486953,2.680442596600125e-06
0.01,0.02,0.9776093458736105,0.02280829142015478
0.01,0.04,0.9620131425900149,0.022947590134819146
0.01,0.06,0.9463015229294771,0.023143207390712246
0.01,0.08,0.9283396806942126,0.0233479762119186
0.01,0.1,0.9183687198851034,0.023475717432144914
0.02,0.02,0.9585720284141552,0.044353081940670135
0.02,0.04,0.92588087120281,0.04466601832392934
0.02,0.06,0.8967263759390349,0.045017291867318794
0.02,0.08,0.8675447739348278,0.04537449260650736
0.02,0.1,0.8473128820551389,0.04566695846592706
0.03,0.02,0.9411244860167801,0.06485591455476435
0.03,0.04,0.8933553352403223,0.0653298941253469
0.03,0.06,0.8526633193311752,0.0658252149663452
0.03,0.08,0.8140816370534927,0.06632374665661082
0.03,0.1,0.7853503889911344,0.06676989585615259
0.04,0.02,0.9249934151983256,0.08447643057039035
0.04,0.04,0.8639415189336751,0.08509938198852085
0.04,0.06,0.8133931111770011,0.08572782553406984
0.04,0.08,0.7670046563952908,0.08635741470529483
0.04,0.1,0.7313075027036811,0.08694715936101303
0.05,0.02,0.9099553457169476,0.10334717813608474
0.05,0.04,0.837212851755566,0.1041075818749733
0.05,0.06,0.7782841930893948,0.1048589208152124
0.05,0.08,0.7254757503803362,0.10561011852649707
0.05,0.1,0.6841384608013829,0.10633430532446339
0.06,0.02,0.895829610927617,0.12157711403465743
0.06,0.04,0.8128032027333415,0.12246402582622799
0.06,0.06,0.7467836860348852,0.1233287378037842
0.06,0.08,0.6887543425172789,0.12419291150089162
0.06,0.1,0.6429144006388566,0.12504329775480272
0.07,0.02,0.8824720011108793,0.13925480707515805
0.07,0.04,0.7903995675445995,0.14025787617078356
0.07,0.06,0.7184090875953347,0.14122714631046196
0.07,0.08,0.6561880433318745,0.14219646662496602
0.07,0.1,0.606812998590077,0.14316569139495777
0.08,0.02,0.8697690617045194,0.15645135374406163
0.08,0.04,0.7697354125808957,0.15756083606823454
0.08,0.06,0.6927406371873555,0.1586265544833259
0.08,0.08,0.6272040101103489,0.15969397713056477
0.08,0.1,0.5751087958117881,0.1607755276039247
0.09,0.02,0.8576329984915969,0.17322301748517152
0.09,0.04,0.7505846402297331,0.1744297837964251
0.09,0.06,0.6694143157585589,0.17558453822573658
0.09,0.08,0.6013009533214099,0.17674378119817716
0.09,0.1,0.5471641817854228,0.17793195457385524
0.1,0.02,0.8459971520749346,0.18961360362071925
0.1,0.04,0.7327561398322505,0.1909091428294491
0.1,0.06,0.6481154466230589,0.19214620659591297
0.1,0.08,0.5780417586659432,0.19339172288679274
0.1,0.1,0.5224210069593704,0.1946815840455016
0.11,0.02,0.834812004387212,0.20565658249868385
0.11,0.04,0.7160888891142001,0.20703300032550442
0.11,0.06,0.6285728643648478,0.20834631584252278
0.11,0.08,0.5570466939011449,0.20967326197135527
0.11,0.1,0.5003927959484923,0.2110605972512835
0.12,0.02,0.82404168053719,0.22137697394899972
0.12,0.04,0.7004475713513031,0.22282698713963645
0.12,0.06,0.6105536191179125,0.22421114522487093
0.12,0.08,0.5379871698877633,0.22561534587124235
0.12,0.1,0.480657532976837,0.2270966133056361
0.13,0.02,0.8136609099663826,0.2367930065501231
0.13,0.04,0.6857186741076995,0.23830993289328478
0.13,0.06,0.5938581840174689,0.23976014818110558
0.13,0.08,0.5205800257071445,0.2412380572658424
0.13,0.1,0.46285099156501674,0.24281033367260746
0.14,0.02,0.8036524116770235,0.25191756554395683
0.14,0.04,0.6718070360687753,0.25349530996689507
0.14,0.06,0.5783161341990405,0.2550073927398523
0.14,0.08,0.5045823081809959,0.2565560513227772
0.14,0.1,0.4466605808583931,0.25821697666746696
0.15,0.02,0.7940046691820075,0.2667594434885936
0.15,0.04,0.6586328092684218,0.26839248053084475
0.15,0.06,0.5637822663930597,0.26996280531704264
0.15,0.08,0.48978651669361256,0.2715797967078546
0.15,0.1,0.4318196814590827,0.2733275161896223
0.16,0.02,0.784710061811402,0.2813244079025324
0.16,0.04,0.646128804877075,0.283007760891415
0.16,0.06,0.5501331289141663,0.2846332321982618
0.16,0.08,0.4760162848563201,0.2863166347012738
0.16,0.1,0.4181024441569703,0.288149739036234
0.17,0.02,0.7757633200791464,0.29561610022950296
0.17,0.04,0.634238191662331,0.29734531750104864
0.17,0.06,0.5372639326686534,0.2990233330762667
0.17,0.08,0.4631224712598045,0.3007716708105126
0.17,0.1,0.4053190255458422,0.3026891352081939
0.18,0.02,0.7671602739589103,0.30963678043904364
0.18,0.04,0.6229125172503992,0.3114079089649499
0.18,0.06,0.525085814693073,0.3131363209927117
0.18,0.08,0.45097963232505933,0.31494851324605694
0.18,0.1,0.39331123515408406,0.3169496355919201
0.19,0.02,0.7588968641312698,0.32338793147453515
0.19,0.04,0.6121100233961758,0.3251974882692509
0.19,0.06,0.5135234266843854,0.3269745629226273
0.19,0.08,0.4394828510809191,0.3288498725116843
0.19,0.1,0.38194856940896826,0.33093421128176936
0.2,0.02,0.750968387537057,0.3368707375683364
0.2,0.04,0.6017942276046315,0.33871567926032237
0.2,0.06,0.5025128219802901,0.34054005504070045
0.2,0.08,0.4285448965592616,0.34247803615739086
0.2,0.1,0.37112460848349527,0.3446453485997816
0.21,0.02,0.7433689498958742,0.35008645016461326
0.21,0.04,0.5919327446290105,0.35196414112203295
0.21,0.06,0.4919996154905185,0.35383478642159183
0.21,0.08,0.4180936894015728,0.3558352324518783
0.21,0.1,0.3607537528394126,0.3580854135736324
0.22,0.02,0.7360910992165347,0.3630366548268754
0.22,0.04,0.5824963225948204,0.36494483423032525
0.22,0.06,0.48193739215929926,0.3668610045549179
0.22,0.08,0.40807005020666876,0.3689238963554059
0.22,0.1,0.35076827707389413,0.3712569192526799
0.23,0.02,0.7291256157299232,0.37572345206240637
0.23,0.04,0.5734580697556987,0.37766020031571235
0.23,0.06,0.47228634064954295,0.37962139560249253
0.23,0.08,0.3984257081131217,0.3817468507161355
0.23,0.1,0.34111567949531746,0.38416270877930614
0.24,0.02,0.7224614351071332,0.38814956447385346
0.24,0.04,0.5647928491712494,0.39011326933838797
0.24,0.06,0.4630120900742832,0.39211919179514626
0.24,0.08,0.38912154809582616,0.3943074150780955
0.24,0.1,0.33175630669053957,0.3968060665926116
0.25,0.02,0.7160856832795659,0.4003183820541115
0.25,0.04,0.5564768199012308,0.4023077048825172
0.25,0.06,0.45408472875466627,0.4043582177639487
0.25,0.08,0.3801260764587059,0.40660945388161557
0.25,0.1,0.32266123319734247,0.4091907695290444
0.26,0.02,0.7099838026459894,0.412233956780072
0.26,0.04,0.5484871046287672,0.41424779921172955
0.26,0.06,0.44547798515053766,0.41634288693174887
0.26,0.08,0.3714140850197543,0.41865737516338847
0.26,0.1,0.31381037725676836,0.4213210889056162
0.27,0.02,0.7041397509277743,0.4239009569402555
0.27,0.04,0.5408015649514313,0.42593842840340207
0.27,0.06,0.43716855228392987,0.42807815836220103
0.27,0.08,0.3629654955055196,0.430456090129827
0.27,0.1,0.3051908344865674,0.4332017539326561
0.28,0.02,0.6985362554110297,0.43532459085801856
0.28,0.04,0.5333986669072285,0.43738497720220365
0.28,0.06,0.4291355381522728,0.43956946368214345
0.28,0.08,0.354764366695065,0.44201094319142636
0.28,0.1,0.2967954121849147,0.444837886011955
0.29,0.02,0.6931551067870413,0.4465105088537932
0.29,0.04,0.5262574206270956,0.4485932424115367
0.29,0.06,0.42136002580187193,0.4508226128672997
0.29,0.08,0.34679804787397317,0.45332762121544035
0.29,0.1,0.2886213478389905,0.45623491264073207
0.3,0.02,0.6879774782642036,0.4574646914351198
0.3,0.04,0.5193573793210519,0.4595693227834114
0.3,0.06,0.41382472789826363,0.46184368681934995
0.3,0.08,0.3390564631728708,0.4644120498879356
0.3,0.1,0.28066919627247755,0.46739846877076924
0.31,0.02,0.6829842570697124,0.46819333082108217
0.31,0.04,0.5126786841064694,0.4703195024820085
0.31,0.06,0.40651372178402695,0.4726389237735459
0.31,0.08,0.331531512368297,0.47527028418333744
0.31,0.1,0.27294187071598147,0.4783342925745156
0.32,0.02,0.6781563768822206,0.47870271200758346
