Sample Size,Mean R2,Std R2
40,0.9519314127556772,0.028657975479983416
41,0.9448267191019502,0.01643592128375501
42,0.9898748328536351,0.008635138273976177
43,0.9907003103388442,0.0021695533791818975
44,0.9930037870653253,0.0006745841125163255
45,0.9945190454818531,0.00350553220132975
46,0.9944005439888073,0.0034728044181441854
47,0.998258263740143,0.0007908643206650427
48,0.9980743222962414,0.0020235545949671297
49,0.9965968637963958,0.0023290723473515696
50,0.998698744426393,0.0003752935867095292
51,0.9986072061770533,0.0005364012200811589
52,0.9985835179255416,0.00040443869147304296
53,0.9987433428261786,0.00039713354917887147
54,0.9985219632811381,0.0008448516303915835
55,0.998471514365252,0.0011826978272723514
56,0.9986845444957263,0.0005294112947668728
57,0.9985486637301392,0.0005895489859646855
58,0.9986030436577845,0.0004120116692498655
59,0.9984540948400149,0.0007418558836673925
60,0.9989874917061506,0.00032264503814442716
61,0.9987354684155372,0.0004959947698546022
62,0.998916869530414,0.00017364853734019476
63,0.9991245609838117,0.00010147485099539835
64,0.9990014009729264,0.00022344700885322676
65,0.9990333655992101,0.00023673936464170767
66,0.9989866267480434,0.0004494342100768293
67,0.9990602024629476,0.0004888881379063407
68,0.9992146573800953,0.00015071119945516762
69,0.9989028459505642,0.00047324658098448787
70,0.9991479257977645,0.00022493348498572077
71,0.9991824812963165,0.00017158694386860146
72,0.9990949698617644,0.00011516097155391227
73,0.9992034649389403,0.0001813440818236328
74,0.9992211002379159,0.00014715660096394596
75,0.9990179955256423,0.00013829863388872585
76,0.9991844357206243,0.00025385777397937925
77,0.9992606199582005,0.00011286158681901023
78,0.9993462400278943,0.00012713888823874035
79,0.9991767197085425,0.00016500702337107683
80,0.9992717470763142,0.00015655194067082598
81,0.9992655622328603,0.00012909043269304884
82,0.9993409832212995,0.00010505760735278666
83,0.9993064457254686,9.846391179738252e-05
84,0.9993001407781188,0.00028369885042482565
85,0.9992810189393229,0.0002501024866032787
86,0.9993399445616831,9.993309796193393e-05
87,0.9992934225379415,0.0001992367854208957
88,0.9992866688926989,0.00014958831859179266
89,0.9993129206619032,0.00010598003450128816
90,0.9992954477364414,0.00013897876739688407
91,0.9992510069865672,0.00020965628198624925
92,0.9994042589177617,9.82830112468974e-05
93,0.9994050200131586,6.26210986416936e-05
94,0.9993589997735984,0.00011985635023247669
95,0.9993289889244151,9.258853908065245e-05
96,0.9993218213366071,0.00011305452801930328
97,0.9993520459898596,0.00010702882478935128
98,0.9993984684060593,0.00010861658713142265
99,0.999371569875928,0.00010116040787333243
100,0.9993778189535375,9.597532321453611e-05
101,0.9992868404338638,0.0001227958088117672
102,0.9993970732053947,0.00011937421702330738
103,0.9994256133487494,9.76872566395593e-05
104,0.999404163002746,7.136302396829618e-05
105,0.9994316547194527,4.355436506080469e-05
106,0.9994054071927504,8.309259121324738e-05
107,0.9994433728892975,5.452065198770338e-05
108,0.9993943056581582,0.0001131503095392358
109,0.9993812840501137,9.357372852254876e-05
110,0.9994274326436601,6.19390608361202e-05
111,0.9994115019626466,0.00010746232642111726
112,0.9994198759879623,4.471373392346119e-05
113,0.9994284744925972,9.378834459191065e-05
114,0.9994357816711534,7.187625904090151e-05
115,0.9993731292420588,0.00012265275119867697
116,0.9994214551563745,6.325945727788639e-05
117,0.9994314720017348,5.764792577090034e-05
118,0.9994102464092457,5.164183271558428e-05
119,0.9994231063090708,7.827062618476346e-05
120,0.9993610178782155,8.28486921658719e-05
121,0.9993514136436611,0.00010518841924886093
122,0.9992920586397493,7.271689072688759e-05
123,0.999343465368381,7.154165090097964e-05
124,0.9992922699966783,8.336788531463442e-05
125,0.9992746251768765,5.4675627515742515e-05
126,0.999325330297826,6.020702097357293e-05
127,0.9992696306567659,6.508002606735412e-05
128,0.9993264871266181,9.627161180871919e-05
129,0.999330724354744,9.370175073685855e-05
130,0.9994472862244157,7.424318452845423e-05
131,0.9994541348893893,5.570068623298668e-05
132,0.9994228681247389,7.333535120169892e-05
133,0.9993644297805317,0.00010474194213261435
134,0.99943716497966,9.483604586681821e-05
135,0.9994542821693768,2.986994061298801e-05
136,0.9994226859030739,8.869051543678197e-05
137,0.9993955730495847,0.0001002383054805157
138,0.9994266411063784,0.00010315079948997711
139,0.9994413644049507,6.76802152287427e-05
140,0.9994258655223905,7.746166030853347e-05
141,0.9994576735145847,4.588244931225174e-05
142,0.9994783114822111,3.347068525003882e-05
143,0.9994347440172493,5.951986117011123e-05
144,0.9994453115008357,6.85923943267645e-05
145,0.9994315132759171,8.37331865133825e-05
146,0.9994656488421321,6.040873413500037e-05
147,0.9994326074354417,8.282823156304877e-05
148,0.9994152397011341,8.294973700511561e-05
149,0.9994498662088066,5.00716403986383e-05
150,0.9994542755870647,6.151110273951298e-05
151,0.9994637438023746,5.9056228295712865e-05
152,0.9994283173866189,7.604002322658436e-05
153,0.999467336405446,4.321134933009919e-05
154,0.9994850920725626,2.8471901250546068e-05
155,0.999474087504107,2.2531571786172065e-05
156,0.9994676916230508,4.009089455339566e-05
157,0.9994852343022996,2.856436341944081e-05
158,0.9994339785176463,9.150492179707962e-05
159,0.9994820657076577,3.049019119376025e-05
160,0.999476875497799,2.6795775364174264e-05
161,0.9994810447727623,2.803550266100291e-05
162,0.9994876811374173,2.386974221683277e-05
163,0.9994615124499916,2.9807898336835063e-05
164,0.9994771540896515,3.148919643617493e-05
165,0.9994681521203725,6.023791244844044e-05
166,0.9994601153901911,5.881006995694775e-05
167,0.9994796417065522,3.2248006633620946e-05
168,0.9994413978340682,7.531122638402585e-05
169,0.9994580944447129,6.512627554321456e-05
170,0.9994817989860625,1.8765792817857044e-05
171,0.9994866181526048,2.5604295963413215e-05
172,0.9994879768282839,2.1763711396113812e-05
173,0.9994764235427386,1.6113927600848898e-05
174,0.9994859831087156,1.3665726996432105e-05
175,0.9994916621415841,1.7155672796922365e-05
176,0.9994948519412734,1.3605342639837912e-05
177,0.9994977499270792,1.4685182863570371e-05
178,0.9994713252112037,5.229022050377953e-05
179,0.9994829623088577,1.9909487540417816e-05
180,0.9994810214282861,1.224293811411595e-05
