adhesivity,particle_size,volume_time_400,efficiency_time_400,product,n
0.0,0.01,0.008494479202439675,0.008494479202439686,0.008494479202439686,0.0
0.05,0.01,0.10318922211404613,0.10318369298289981,0.10318369298289981,0.0
0.1,0.01,0.18876008498041902,0.18874509498820669,0.18874509498820669,0.0
0.15,0.01,0.2660921738057397,0.2660694504083123,0.2660694504083123,0.0
0.2,0.01,0.3359853006716972,0.3359595622258921,0.3359595622258921,0.0
0.25,0.01,0.39916046595214055,0.3991383297772784,0.3991383297772784,0.0
0.3,0.01,0.4562685705872129,0.45625724613796304,0.45625724613796304,0.0
0.35,0.01,0.5078983373363266,0.5079038784492793,0.5079038784492793,0.0
0.4,0.01,0.5545616575456277,0.5546076790821602,0.5546076790821602,0.0
0.45,0.01,0.5967364697797253,0.5968462128251971,0.5968462128251971,0.0
0.5,0.01,0.634866791761904,0.6350503835914212,0.6350503835914212,0.0
0.55,0.01,0.6693486970701774,0.6696088159005474,0.6696088159005474,0.0
0.6,0.01,0.7005389403920762,0.7008724230405265,0.7008724230405265,0.0
0.65,0.01,0.7287570770922995,0.729157929274718,0.729157929274718,0.0
0.7,0.01,0.7542883590170024,0.7547512167325651,0.7547512167325651,0.0
0.75,0.01,0.7773907463269045,0.7779105196969088,0.7779105196969088,0.0
0.8,0.01,0.7982963706395205,0.7988690418846631,0.7988690418846631,0.0
0.85,0.01,0.8172153830104059,0.817837423883942,0.817837423883942,0.0
0.9,0.01,0.8343376715483086,0.835006028172328,0.835006028172328,0.0
0.95,0.01,0.8498350327614543,0.850546783524984,0.850546783524984,0.0
1.0,0.01,0.8638628428399007,0.864615116867358,0.864615116867358,0.0
0.0,0.02,0.008494479202439675,0.008494479202439686,0.008494479202439686,0.0
0.05,0.02,0.10355931962138193,0.10354872157139068,0.10354872157139068,0.0
0.1,0.02,0.18940484711041503,0.18937481687757352,0.18937481687757352,0.0
0.15,0.02,0.26693120013644694,0.26688599192762297,0.26688599192762297,0.0
0.2,0.02,0.3369236156901394,0.3369035351264105,0.3369035351264105,0.0
0.25,0.02,0.4001045512763478,0.40016416126260085,0.40016416126260085,0.0
0.3,0.02,0.45717191345985864,0.4573311942382869,0.4573311942382869,0.0
0.35,0.02,0.5087395889165585,0.5090004393305705,0.5090004393305705,0.0
0.4,0.02,0.5553460159766319,0.5557086323165745,0.5557086323165745,0.0
0.45,0.02,0.5974707199914334,0.5979384270479994,0.5979384270479994,0.0
0.5,0.02,0.6355493950316339,0.6361247509514,0.6361247509514,0.0
0.55,0.02,0.6699756659019035,0.6706592715503965,0.6706592715503965,0.0
0.6,0.02,0.7011041126091416,0.7018951470017989,0.7018951470017989,0.0
0.65,0.02,0.7292542007042864,0.7301507632053577,0.7301507632053577,0.0
0.7,0.02,0.7547140118573236,0.7557133855143058,0.7557133855143058,0.0
0.75,0.02,0.7777432970459612,0.7788420189478106,0.7788420189478106,0.0
0.8,0.02,0.7985763429105539,0.7997705327598604,0.7997705327598604,0.0
0.85,0.02,0.8174251182536668,0.8187102287064746,0.8187102287064746,0.0
0.9,0.02,0.8344796523916175,0.8358511219828632,0.8358511219828632,0.0
0.95,0.02,0.849912686679312,0.8513658278481703,0.8513658278481703,0.0
1.0,0.02,0.8638794804617188,0.8654095298144693,0.8654095298144693,0.0
0.0,0.03,0.008494479202439675,0.008494479202439686,0.008494479202439686,0.0
0.05,0.03,0.10392952864903204,0.10391384712796617,0.10391384712796617,0.0
