adhesivity,particle_size,n
1.0,0.03,0.29
0.9,0.04,0.29
0.7,0.05,0.29
0.55,0.06,0.29
0.5,0.07,0.29
0.4,0.08,0.29
0.35,0.09,0.29
0.3,0.1,0.29
1.0,0.03,0.3
0.9,0.04,0.3
0.7,0.05,0.3
0.55,0.06,0.3
0.5,0.07,0.3
0.4,0.08,0.3
0.35,0.09,0.3
0.3,0.1,0.3
1.0,0.03,0.31
0.9,0.04,0.31
0.7,0.05,0.31
0.55,0.06,0.31
0.5,0.07,0.31
0.4,0.08,0.31
0.35,0.09,0.31
0.3,0.1,0.31
1.0,0.03,0.32
0.9,0.04,0.32
0.7,0.05,0.32
0.55,0.06,0.32
0.5,0.07,0.32
0.4,0.08,0.32
0.35,0.09,0.32
0.3,0.1,0.32
1.0,0.03,0.33
0.9,0.04,0.33
0.7,0.05,0.33
0.55,0.06,0.33
0.5,0.07,0.33
0.4,0.08,0.33
0.35,0.09,0.33
0.3,0.1,0.33
1.0,0.03,0.34
0.9,0.04,0.34
0.7,0.05,0.34
0.55,0.06,0.34
0.5,0.07,0.34
0.4,0.08,0.34
0.35,0.09,0.34
0.3,0.1,0.34
1.0,0.03,0.35000000000000003
0.9,0.04,0.35000000000000003
0.7,0.05,0.35000000000000003
0.55,0.06,0.35000000000000003
0.5,0.07,0.35000000000000003
0.4,0.08,0.35000000000000003
0.35,0.09,0.35000000000000003
0.3,0.1,0.35000000000000003
1.0,0.03,0.36
0.9,0.04,0.36
0.7,0.05,0.36
0.55,0.06,0.36
0.5,0.07,0.36
0.4,0.08,0.36
0.35,0.09,0.36
0.3,0.1,0.36
1.0,0.03,0.37
0.9,0.04,0.37
0.7,0.05,0.37
0.55,0.06,0.37
0.5,0.07,0.37
0.4,0.08,0.37
0.35,0.09,0.37
0.3,0.1,0.37
1.0,0.03,0.38
0.9,0.04,0.38
0.7,0.05,0.38
0.55,0.06,0.38
0.5,0.07,0.38
0.4,0.08,0.38
0.35,0.09,0.38
0.3,0.1,0.38
1.0,0.03,0.39
0.9,0.04,0.39
0.7,0.05,0.39
0.55,0.06,0.39
0.5,0.07,0.39
0.4,0.08,0.39
0.35,0.09,0.39
0.3,0.1,0.39
1.0,0.03,0.4
0.9,0.04,0.4
0.7,0.05,0.4
0.55,0.06,0.4
0.5,0.07,0.4
0.4,0.08,0.4
0.35,0.09,0.4
0.3,0.1,0.4
1.0,0.03,0.41000000000000003
0.9,0.04,0.41000000000000003
0.7,0.05,0.41000000000000003
0.55,0.06,0.41000000000000003
0.5,0.07,0.41000000000000003
0.4,0.08,0.41000000000000003
0.35,0.09,0.41000000000000003
0.3,0.1,0.41000000000000003
1.0,0.03,0.42
0.9,0.04,0.42
0.7,0.05,0.42
0.55,0.06,0.42
0.5,0.07,0.42
0.4,0.08,0.42
0.35,0.09,0.42
0.3,0.1,0.42
1.0,0.03,0.43
0.9,0.04,0.43
0.7,0.05,0.43
0.55,0.06,0.43
0.5,0.07,0.43
0.4,0.08,0.43
0.35,0.09,0.43
0.3,0.1,0.43
1.0,0.03,0.44
0.9,0.04,0.44
0.7,0.05,0.44
0.55,0.06,0.44
0.5,0.07,0.44
0.4,0.08,0.44
0.35,0.09,0.44
0.3,0.1,0.44
1.0,0.03,0.45
0.9,0.04,0.45
0.7,0.05,0.45
0.55,0.06,0.45
0.5,0.07,0.45
0.4,0.08,0.45
0.35,0.09,0.45
0.3,0.1,0.45
1.0,0.03,0.46
0.9,0.04,0.46
0.7,0.05,0.46
0.55,0.06,0.46
0.5,0.07,0.46
0.4,0.08,0.46
0.35,0.09,0.46
0.3,0.1,0.46
1.0,0.03,0.47000000000000003
0.9,0.04,0.47000000000000003
0.7,0.05,0.47000000000000003
0.55,0.06,0.47000000000000003
0.5,0.07,0.47000000000000003
0.4,0.08,0.47000000000000003
0.35,0.09,0.47000000000000003
0.3,0.1,0.47000000000000003
1.0,0.03,0.48
0.9,0.04,0.48
0.7,0.05,0.48
0.55,0.06,0.48
0.5,0.07,0.48
0.4,0.08,0.48
0.35,0.09,0.48
0.3,0.1,0.48
1.0,0.03,0.49
0.9,0.04,0.49
0.7,0.05,0.49
0.55,0.06,0.49
0.5,0.07,0.49
0.4,0.08,0.49
0.35,0.09,0.49
0.3,0.1,0.49
1.0,0.03,0.5
0.9,0.04,0.5
0.7,0.05,0.5
0.55,0.06,0.5
0.5,0.07,0.5
0.4,0.08,0.5
0.35,0.09,0.5
0.3,0.1,0.5
1.0,0.03,0.51
0.9,0.04,0.51
0.7,0.05,0.51
0.55,0.06,0.51
0.5,0.07,0.51
0.4,0.08,0.51
0.35,0.09,0.51
0.3,0.1,0.51
1.0,0.03,0.52
0.9,0.04,0.52
0.7,0.05,0.52
0.55,0.06,0.52
0.5,0.07,0.52
0.4,0.08,0.52
0.35,0.09,0.52
0.3,0.1,0.52
1.0,0.03,0.53
0.9,0.04,0.53
0.7,0.05,0.53
0.55,0.06,0.53
0.5,0.07,0.53
0.4,0.08,0.53
0.35,0.09,0.53
0.3,0.1,0.53
1.0,0.03,0.54
0.9,0.04,0.54
0.7,0.05,0.54
0.55,0.06,0.54
0.5,0.07,0.54
0.4,0.08,0.54
0.35,0.09,0.54
0.3,0.1,0.54
1.0,0.03,0.55
0.9,0.04,0.55
0.7,0.05,0.55
0.55,0.06,0.55
0.5,0.07,0.55
0.4,0.08,0.55
0.3,0.09,0.55
0.3,0.1,0.55
1.0,0.03,0.56
0.9,0.04,0.56
0.7,0.05,0.56
0.55,0.06,0.56
0.5,0.07,0.56
0.4,0.08,0.56
0.3,0.09,0.56
0.3,0.1,0.56
1.0,0.03,0.5700000000000001
0.9,0.04,0.5700000000000001
0.7,0.05,0.5700000000000001
0.55,0.06,0.5700000000000001
0.5,0.07,0.5700000000000001
0.4,0.08,0.5700000000000001
0.3,0.09,0.5700000000000001
0.3,0.1,0.5700000000000001
1.0,0.03,0.58
0.9,0.04,0.58
0.7,0.05,0.58
0.55,0.06,0.58
0.5,0.07,0.58
0.4,0.08,0.58
0.3,0.09,0.58
0.3,0.1,0.58
1.0,0.03,0.59
0.9,0.04,0.59
0.7,0.05,0.59
0.55,0.06,0.59
0.45,0.07,0.59
0.4,0.08,0.59
0.3,0.09,0.59
0.3,0.1,0.59
1.0,0.03,0.6
0.9,0.04,0.6
0.7,0.05,0.6
0.55,0.06,0.6
0.45,0.07,0.6
0.4,0.08,0.6
0.3,0.09,0.6
0.3,0.1,0.6
1.0,0.03,0.61
0.9,0.04,0.61
0.7,0.05,0.61
0.55,0.06,0.61
0.45,0.07,0.61
0.4,0.08,0.61
0.3,0.09,0.61
0.3,0.1,0.61
1.0,0.03,0.62
0.9,0.04,0.62
0.7,0.05,0.62
0.55,0.06,0.62
0.45,0.07,0.62
0.4,0.08,0.62
0.3,0.09,0.62
0.3,0.1,0.62
1.0,0.03,0.63
0.9,0.04,0.63
0.7,0.05,0.63
0.55,0.06,0.63
0.45,0.07,0.63
0.4,0.08,0.63
0.3,0.09,0.63
0.3,0.1,0.63
1.0,0.03,0.64
0.9,0.04,0.64
0.7,0.05,0.64
0.55,0.06,0.64
0.45,0.07,0.64
0.35,0.08,0.64
0.3,0.09,0.64
0.3,0.1,0.64
1.0,0.03,0.65
0.9,0.04,0.65
0.7,0.05,0.65
0.55,0.06,0.65
0.45,0.07,0.65
0.35,0.08,0.65
0.3,0.09,0.65
0.3,0.1,0.65
1.0,0.03,0.66
0.9,0.04,0.66
0.7,0.05,0.66
0.55,0.06,0.66
0.45,0.07,0.66
0.35,0.08,0.66
0.3,0.09,0.66
0.3,0.1,0.66
1.0,0.03,0.67
0.9,0.04,0.67
0.7,0.05,0.67
0.55,0.06,0.67
0.45,0.07,0.67
0.35,0.08,0.67
0.3,0.09,0.67
0.3,0.1,0.67
1.0,0.03,0.68
0.9,0.04,0.68
0.7,0.05,0.68
0.55,0.06,0.68
0.45,0.07,0.68
0.35,0.08,0.68
0.3,0.09,0.68
0.3,0.1,0.68
1.0,0.03,0.6900000000000001
0.9,0.04,0.6900000000000001
0.7,0.05,0.6900000000000001
0.55,0.06,0.6900000000000001
0.45,0.07,0.6900000000000001
0.35,0.08,0.6900000000000001
0.3,0.09,0.6900000000000001
0.3,0.1,0.6900000000000001
1.0,0.03,0.7000000000000001
0.9,0.04,0.7000000000000001
0.7,0.05,0.7000000000000001
0.55,0.06,0.7000000000000001
0.45,0.07,0.7000000000000001
0.35,0.08,0.7000000000000001
0.3,0.09,0.7000000000000001
0.3,0.1,0.7000000000000001
1.0,0.03,0.71
0.9,0.04,0.71
0.7,0.05,0.71
0.55,0.06,0.71
0.45,0.07,0.71
0.35,0.08,0.71
0.3,0.09,0.71
0.3,0.1,0.71
1.0,0.03,0.72
0.9,0.04,0.72
0.7,0.05,0.72
0.55,0.06,0.72
0.45,0.07,0.72
0.35,0.08,0.72
0.3,0.09,0.72
0.3,0.1,0.72
1.0,0.03,0.73
0.9,0.04,0.73
0.7,0.05,0.73
0.55,0.06,0.73
0.45,0.07,0.73
0.35,0.08,0.73
0.3,0.09,0.73
0.3,0.1,0.73
1.0,0.03,0.74
0.9,0.04,0.74
0.7,0.05,0.74
0.55,0.06,0.74
0.45,0.07,0.74
0.35,0.08,0.74
0.3,0.09,0.74
0.3,0.1,0.74
1.0,0.03,0.75
0.9,0.04,0.75
0.7,0.05,0.75
0.55,0.06,0.75
0.45,0.07,0.75
0.35,0.08,0.75
0.3,0.09,0.75
0.3,0.1,0.75
1.0,0.03,0.76
0.9,0.04,0.76
0.7,0.05,0.76
0.55,0.06,0.76
0.45,0.07,0.76
0.35,0.08,0.76
0.3,0.09,0.76
0.3,0.1,0.76
1.0,0.03,0.77
0.9,0.04,0.77
0.7,0.05,0.77
0.55,0.06,0.77
0.45,0.07,0.77
0.3,0.08,0.77
0.3,0.09,0.77
0.3,0.1,0.77
1.0,0.03,0.78
0.9,0.04,0.78
0.7,0.05,0.78
0.55,0.06,0.78
0.45,0.07,0.78
0.3,0.08,0.78
0.3,0.09,0.78
0.3,0.1,0.78
1.0,0.03,0.79
0.9,0.04,0.79
0.7,0.05,0.79
0.55,0.06,0.79
0.45,0.07,0.79
0.3,0.08,0.79
0.3,0.09,0.79
0.3,0.1,0.79
1.0,0.03,0.8
0.9,0.04,0.8
0.7,0.05,0.8
0.55,0.06,0.8
0.4,0.07,0.8
0.3,0.08,0.8
0.3,0.09,0.8
0.3,0.1,0.8
1.0,0.03,0.81
0.9,0.04,0.81
0.7,0.05,0.81
0.55,0.06,0.81
0.4,0.07,0.81
0.3,0.08,0.81
0.3,0.09,0.81
0.3,0.1,0.81
1.0,0.03,0.8200000000000001
0.9,0.04,0.8200000000000001
0.7,0.05,0.8200000000000001
0.55,0.06,0.8200000000000001
0.4,0.07,0.8200000000000001
0.3,0.08,0.8200000000000001
0.3,0.09,0.8200000000000001
0.3,0.1,0.8200000000000001
1.0,0.03,0.8300000000000001
0.9,0.04,0.8300000000000001
0.7,0.05,0.8300000000000001
0.55,0.06,0.8300000000000001
0.4,0.07,0.8300000000000001
0.3,0.08,0.8300000000000001
0.3,0.09,0.8300000000000001
0.3,0.1,0.8300000000000001
1.0,0.03,0.84
0.9,0.04,0.84
0.7,0.05,0.84
0.55,0.06,0.84
0.4,0.07,0.84
0.3,0.08,0.84
0.3,0.09,0.84
0.3,0.1,0.84
1.0,0.03,0.85
0.9,0.04,0.85
0.7,0.05,0.85
0.55,0.06,0.85
0.4,0.07,0.85
0.3,0.08,0.85
0.3,0.09,0.85
0.3,0.1,0.85
1.0,0.03,0.86
0.9,0.04,0.86
0.7,0.05,0.86
0.55,0.06,0.86
0.4,0.07,0.86
0.3,0.08,0.86
0.3,0.09,0.86
0.3,0.1,0.86
1.0,0.03,0.87
0.9,0.04,0.87
0.7,0.05,0.87
0.55,0.06,0.87
0.4,0.07,0.87
0.3,0.08,0.87
0.3,0.09,0.87
0.3,0.1,0.87
1.0,0.03,0.88
0.9,0.04,0.88
0.7,0.05,0.88
0.55,0.06,0.88
0.4,0.07,0.88
0.3,0.08,0.88
0.3,0.09,0.88
0.3,0.1,0.88
1.0,0.03,0.89
0.9,0.04,0.89
0.7,0.05,0.89
0.55,0.06,0.89
0.4,0.07,0.89
0.3,0.08,0.89
0.3,0.09,0.89
0.3,0.1,0.89
1.0,0.03,0.9
0.9,0.04,0.9
0.7,0.05,0.9
0.55,0.06,0.9
0.4,0.07,0.9
0.3,0.08,0.9
0.3,0.09,0.9
0.3,0.1,0.9
1.0,0.03,0.91
0.9,0.04,0.91
0.7,0.05,0.91
0.5,0.06,0.91
0.4,0.07,0.91
0.3,0.08,0.91
0.3,0.09,0.91
0.3,0.1,0.91
1.0,0.03,0.92
0.9,0.04,0.92
0.7,0.05,0.92
0.5,0.06,0.92
0.4,0.07,0.92
0.3,0.08,0.92
0.3,0.09,0.92
0.3,0.1,0.92
1.0,0.03,0.93
0.9,0.04,0.93
0.7,0.05,0.93
0.5,0.06,0.93
0.4,0.07,0.93
0.3,0.08,0.93
0.3,0.09,0.93
0.3,0.1,0.93
1.0,0.03,0.9400000000000001
0.9,0.04,0.9400000000000001
0.7,0.05,0.9400000000000001
0.5,0.06,0.9400000000000001
0.4,0.07,0.9400000000000001
