Sample Size,Mean R2,Std R2
40,0.9999997765927168,1.258614147881349e-07
41,0.9999998754631658,1.4198141459237387e-07
42,0.9999999185600705,1.3296200508772748e-07
43,0.9999999687398702,5.710017787612779e-08
44,0.9999999926533146,1.8144351381534354e-08
45,0.9999999974165028,2.511443618261326e-09
46,0.9999999983596725,1.1522548255521767e-09
47,0.9999999987092032,9.598861210479747e-10
48,0.9999999986415162,1.0437045646888262e-09
49,0.9999999993319116,7.171097559463987e-10
50,0.9999999995096249,4.941277791202261e-10
51,0.999999999706523,2.3100086789359858e-10
52,0.9999999997933413,1.6679893722399067e-10
53,0.9999999997525023,2.1647529685002756e-10
54,0.9999999997868425,1.9968794962396163e-10
55,0.9999999997567581,2.895058789953871e-10
56,0.9999999997608734,2.728472083062976e-10
57,0.9999999998386493,1.603298145157686e-10
58,0.9999999996458033,5.207676930241715e-10
59,0.999999999811308,1.9319155027916072e-10
60,0.9999999997132809,4.1168010438923173e-10
61,0.9999999997596248,3.4567785006612293e-10
62,0.9999999999057243,3.633912777300773e-11
63,0.999999999879134,5.904541348944944e-11
64,0.9999999998537448,1.1431592711774525e-10
65,0.9999999998720608,9.246016616538368e-11
66,0.9999999998762593,7.900828843927538e-11
67,0.9999999998822513,7.98113847228914e-11
68,0.9999999998944139,5.448530469903903e-11
69,0.9999999998834059,9.947405697391842e-11
70,0.9999999998841151,1.057232667176957e-10
71,0.999999999910013,4.6732965931081447e-11
72,0.9999999999168043,3.2733639939520445e-11
73,0.9999999999099538,4.520869943119006e-11
74,0.9999999999170418,4.532926702436606e-11
75,0.9999999999181413,4.382637015489118e-11
76,0.9999999999321553,2.3031339593386078e-11
77,0.9999999999172248,4.5116143830962817e-11
78,0.999999999929846,2.194030427702834e-11
79,0.9999999999305622,2.2351398254783973e-11
80,0.9999999999323999,2.029275386464949e-11
81,0.9999999999364283,2.0675522370051635e-11
82,0.999999999933126,1.967482980581632e-11
83,0.9999999999399097,1.4634695393451122e-11
84,0.999999999941932,1.4578247536232252e-11
85,0.9999999999412905,1.65374658057968e-11
86,0.9999999999444787,1.7515593941860374e-11
87,0.9999999999443494,1.6361541091891287e-11
88,0.9999999999442606,1.6207418425606246e-11
89,0.9999999999445575,1.6174452954391813e-11
90,0.9999999999443883,1.4074333544933393e-11
91,0.9999999999477136,1.0853971096410613e-11
92,0.9999999999468259,1.0997131146955601e-11
93,0.9999999999496219,1.1127426036940035e-11
94,0.999999999949889,1.2633581461402677e-11
95,0.9999999999497579,1.0384966620166521e-11
96,0.9999999999504567,1.2835499944259586e-11
97,0.9999999999496417,1.305669563086161e-11
98,0.9999999999498241,1.2985593713943315e-11
99,0.9999999999507629,1.2535430580585073e-11
100,0.9999999999522216,1.254741315931298e-11
101,0.999999999952394,1.1184632581884435e-11
102,0.9999999999516345,1.2038949675156484e-11
103,0.9999999999516807,1.0550521940462859e-11
104,0.9999999999519094,1.1569393342690241e-11
105,0.9999999999527291,1.0854960529286805e-11
106,0.9999999999521261,1.1128504293340137e-11
107,0.9999999999516647,1.1466091643002919e-11
108,0.9999999999513435,1.1065947961509477e-11
109,0.9999999999512653,1.2935762230430481e-11
110,0.9999999999511633,1.3139205702170018e-11
111,0.9999999999507164,1.343469601252244e-11
112,0.9999999999524759,1.3337707337540627e-11
113,0.999999999954729,1.2817626824992731e-11
114,0.9999999999550289,1.403552287010506e-11
115,0.9999999999537869,1.493942619459347e-11
116,0.9999999999557337,1.527540133461659e-11
117,0.9999999999556998,1.5815463371687506e-11
118,0.9999999999563872,1.5169381492987282e-11
119,0.999999999956325,1.5678759524974398e-11
120,0.9999999999575533,1.4132109257451125e-11
121,0.9999999999578769,1.2568491140362284e-11
122,0.9999999999570864,1.2978656440113133e-11
123,0.9999999999573135,1.286323624561118e-11
124,0.9999999999561154,1.4898962998429802e-11
125,0.9999999999567543,1.510985810146673e-11
126,0.9999999999563794,1.5092654914717948e-11
