Sample Size,Mean R2,Std R2
40,0.995944391749305,0.003835840525699448
41,0.9984845962531663,0.0014974345783059042
42,0.9989034268080255,0.0008810291443052425
43,0.9979048903307974,0.003212009957655743
44,0.9983683303096098,0.001520463265739131
45,0.9987940298807105,0.0014662212385971412
46,0.998381595168769,0.0013945041157885304
47,0.9988113960989251,0.0007561902824011329
48,0.9986736707956274,0.0007850961633929169
49,0.9983950278096774,0.0014608974719699766
50,0.9993176530013349,0.0006337173848696762
51,0.9995304193933185,0.0005648916679239689
52,0.9992715401095479,0.0007930368567620083
53,0.9995384763218059,0.0005594037922934768
54,0.9987582331111525,0.0018704068008553233
55,0.999476471778662,0.0004910967031492087
56,0.9987249265667829,0.0026858052031294077
57,0.9987545984104852,0.0029333088729201562
58,0.9991834945958769,0.0012124168398008907
59,0.9992578943659994,0.0009539995142414805
60,0.9996750494508859,0.0002878751837707844
61,0.9996978816983535,0.00023943479445769916
62,0.9995000918496603,0.0005548098056365433
63,0.9981664926229433,0.004793688752731128
64,0.9995131258983962,0.001111697124601462
65,0.999830625758397,8.96864855738759e-05
66,0.999740347321435,0.00019599751762066806
67,0.9997373786234418,0.0002831883138770972
68,0.9998235681283122,6.527007351890997e-05
69,0.9997072709114564,0.00028834093867379293
70,0.999869883470381,0.00011342007128044179
71,0.9998169354909769,0.00013317860832974667
72,0.9998590244234477,7.931191641639597e-05
73,0.9995758514973673,0.0009198440225096268
74,0.9998938873799817,7.446077714569426e-05
75,0.9998521605975317,0.00011701355728568381
76,0.9998522577088031,7.816066326048855e-05
77,0.9995972714103036,0.0006811748648084364
78,0.999829820972894,0.00012439094815669058
79,0.9997125215027935,0.0006086003041351831
80,0.9998861353279711,6.545711725145096e-05
81,0.9998851881466516,8.644433044195136e-05
82,0.9998092741977512,0.00014720525140911087
83,0.9998435235618122,0.00010130786781463455
84,0.9997982996247716,0.00034644505021571507
85,0.9999260373315945,3.535987307703137e-05
86,0.9998901717378891,5.546845260124574e-05
87,0.9999400960689714,2.6761579527341606e-05
88,0.9998695496753909,0.00011948884060577308
89,0.9999022533832725,7.025784492445033e-05
90,0.9998857633816274,8.630044120348855e-05
91,0.9998763980375969,0.00019433155201787952
92,0.9999252476319945,3.127562643334283e-05
93,0.9998570210820352,0.00022361691405080452
94,0.9999332844047691,5.393122883189555e-05
95,0.9999364131032905,2.6631081838511333e-05
96,0.9999201442481732,5.476823064625064e-05
97,0.9999291309249552,4.330699966873975e-05
98,0.999945562356776,3.553156471720023e-05
99,0.9999401793007243,2.861798534489091e-05
100,0.9999385513812019,4.161082534914849e-05
101,0.9999271631632102,4.059962719025307e-05
102,0.99992724373284,7.285151497201934e-05
103,0.9999470884431296,2.6909157135088916e-05
104,0.9999499661036901,2.8160988889643103e-05
105,0.9999600398229308,2.0498807175849386e-05
106,0.9999511862931894,3.22452619249055e-05
107,0.9999417191443859,3.4285198973130616e-05
108,0.9999526749035308,1.7732981793853884e-05
109,0.999942689376464,3.276581368076554e-05
110,0.9999504198972338,4.099523623764103e-05
111,0.9999309511331518,0.00010080089272676665
112,0.999940330262552,3.6174344810843326e-05
113,0.9999517937944343,2.6911544399767376e-05
114,0.999962296098059,1.2624470994743019e-05
115,0.9999386975682535,5.062038606123898e-05
116,0.9999646393219637,2.290531733165615e-05
117,0.9999543767030579,2.8172545273362406e-05
118,0.9999627257577561,3.290380500076792e-05
119,0.999969618602818,1.2634321156035234e-05
120,0.9999520811463146,3.25459844368323e-05
121,0.9999640852656896,2.8853679147093553e-05
122,0.9999604678646294,3.202338642408106e-05
123,0.9999634147129186,2.9207717615836732e-05
124,0.9999633241226352,1.0063320864841499e-05
125,0.9999604733497887,2.2935567597688756e-05
126,0.9999719452434602,9.877529771731599e-06
