Sample Size,Mean R2,Std R2
100,0.999804254622356,9.2454249705734e-05
101,0.9997829307252972,0.0002537891260250183
102,0.9998493266151207,8.218482285061882e-05
103,0.999826867492134,0.00011472366344461166
104,0.9998417805526028,6.789363284117043e-05
105,0.9998885408605822,5.6781902327289504e-05
106,0.9998737584409735,7.9439902520283e-05
107,0.9998290272234792,0.00019852920006656729
108,0.9999014490475705,3.1199853970951486e-05
109,0.9998604687805045,0.000104277277587621
110,0.999857160717222,0.00010551895842432848
111,0.9998600561748308,0.00017656134330487923
112,0.9999058709231032,3.531824119935681e-05
113,0.9998917800747057,5.7061468609228164e-05
114,0.9998964491366875,3.410107456037272e-05
115,0.9999050640713332,4.190319697126753e-05
116,0.9999191740393713,4.784582386035572e-05
117,0.9999176605527034,3.7915691868762286e-05
118,0.9999036823367579,4.743920857211872e-05
119,0.9999300235732178,3.298159262788019e-05
