Sample Size,Mean R2,Std R2
30,0.341763087277599,1.1702778228589004e-16
31,0.3694695783951496,0.0
32,0.39365044371350284,0.0
33,0.34581779598687445,0.0
34,0.4250872428853282,1.1702778228589004e-16
35,0.4219875068602562,2.340555645717801e-16
36,0.4030457211304622,0.0
37,0.8620346034709833,1.1702778228589004e-16
38,0.2960448792153345,0.0
39,0.8316779819092124,0.0
40,0.9381256147860769,1.1702778228589004e-16
41,0.951614498616624,2.340555645717801e-16
42,0.9879792793844325,1.1702778228589004e-16
43,0.9882510055054269,1.1702778228589004e-16
44,0.9889116728860472,0.0
45,0.9888362717786684,1.1702778228589004e-16
46,0.9882998557702493,0.0
47,0.9886631039036183,1.1702778228589004e-16
48,0.9883890255711678,1.1702778228589004e-16
49,0.988464042903259,1.1702778228589004e-16
50,0.9884052141561283,0.0
51,0.9882257893101775,1.1702778228589004e-16
52,0.988047169272671,1.1702778228589004e-16
53,0.9984951642651098,1.1702778228589004e-16
54,0.9985604472268411,0.0
55,0.998642694225509,1.1702778228589004e-16
56,0.9986396018669499,0.0
57,0.9976353226144934,1.1702778228589004e-16
58,0.9986642782481219,2.340555645717801e-16
59,0.9986804618116454,0.0
60,0.9986791548696473,1.1702778228589004e-16
61,0.9986787751588062,1.1702778228589004e-16
62,0.9987985737079936,1.1702778228589004e-16
63,0.9988205068590489,1.1702778228589004e-16
64,0.9988265427003007,2.340555645717801e-16
65,0.9988636828226781,0.0
66,0.9988555847082768,0.0
67,0.9988670367209386,0.0
68,0.9988248405457762,1.1702778228589004e-16
69,0.9988750110260561,1.1702778228589004e-16
70,0.9988776113281312,0.0
71,0.9988490931096046,2.340555645717801e-16
72,0.9988470784522565,1.1702778228589004e-16
73,0.9988295899665263,1.1702778228589004e-16
74,0.9988364809789904,1.1702778228589004e-16
75,0.9988286113491751,0.0
76,0.998900334089335,1.1702778228589004e-16
77,0.9989019023936831,1.1702778228589004e-16
78,0.9989020319580625,1.1702778228589004e-16
79,0.9988913060618131,0.0
80,0.9988906493379093,0.0
81,0.998890388043599,1.1702778228589004e-16
82,0.9988966633415656,0.0
83,0.9989081341616168,0.0
84,0.9989057729797735,0.0
85,0.9989318253912888,1.1702778228589004e-16
86,0.9992612483500398,0.0
87,0.9992677980180359,1.1702778228589004e-16
88,0.9992947714000305,0.0
89,0.9993458668150387,0.0
90,0.9993392310434676,1.1702778228589004e-16
91,0.998746970439403,1.1702778228589004e-16
92,0.9983086200220235,1.1702778228589004e-16
93,0.9983084195471015,1.1702778228589004e-16
94,0.9989696852939686,0.0
95,0.9989705469063258,0.0
96,0.9989703857398163,0.0
97,0.9989704026127135,2.340555645717801e-16
98,0.9989676491719661,0.0
99,0.9989102762674426,0.0
100,0.9993256542571359,0.0
101,0.9993119787007764,0.0
102,0.9993310456660109,1.1702778228589004e-16
103,0.999337694241115,0.0
104,0.9993388084951794,0.0
105,0.9993443481205733,1.1702778228589004e-16
106,0.9993436177011382,0.0
107,0.9993459509010967,0.0
108,0.9993320596038224,2.340555645717801e-16
109,0.9993328992397166,1.1702778228589004e-16
110,0.9993292388848953,0.0
111,0.9993320382034823,0.0
112,0.9993305733921531,1.1702778228589004e-16
113,0.9993308156255358,0.0
114,0.9993311025551563,1.1702778228589004e-16
115,0.9993315528746395,1.1702778228589004e-16
116,0.999334052109264,0.0
117,0.999340037986905,1.1702778228589004e-16
118,0.9993474052374186,0.0
119,0.9993469345710071,1.1702778228589004e-16
120,0.9993232470174094,0.0
121,0.9993217698541714,1.1702778228589004e-16
122,0.9993216083216451,0.0
123,0.9990423995131964,0.0
124,0.9990389196119498,0.0
125,0.9990388196879862,2.340555645717801e-16
126,0.9993479160442715,1.1702778228589004e-16
127,0.9993236575686005,0.0
128,0.9993224410061694,0.0
129,0.9993245786687744,1.1702778228589004e-16
130,0.9993239035569916,1.1702778228589004e-16
131,0.9993232025442232,0.0
132,0.9993237114154379,1.1702778228589004e-16
133,0.9993523081017447,1.1702778228589004e-16
134,0.9990621219017422,0.0
135,0.9993397217471232,1.1702778228589004e-16
136,0.9993400214611512,0.0
137,0.9993413716555365,0.0
138,0.9993418883900903,1.1702778228589004e-16
139,0.9993443643485295,0.0
140,0.9993455786239339,1.1702778228589004e-16
141,0.9993495686136828,0.0
142,0.9993518367258204,1.1702778228589004e-16
143,0.9993527612567871,1.1702778228589004e-16
144,0.9993441245915748,0.0
145,0.9993444973073498,0.0
146,0.9993445583591434,1.1702778228589004e-16
147,0.9993531740872591,0.0
148,0.9993542484576914,1.1702778228589004e-16
149,0.9993689647211236,0.0
150,0.9993275795781079,1.1702778228589004e-16
151,0.9993277217115624,0.0
152,0.999328856599368,0.0
153,0.9993221777218922,1.1702778228589004e-16
154,0.9993222808050553,0.0
155,0.9993547516198442,1.1702778228589004e-16
156,0.9993530435057087,1.1702778228589004e-16
157,0.999353502310411,1.1702778228589004e-16
158,0.9993528483180876,0.0
159,0.9993615163915154,0.0
160,0.9993726202240488,0.0
161,0.9993635555279635,1.1702778228589004e-16
162,0.9993597089383922,0.0
163,0.9993594932840372,1.1702778228589004e-16
164,0.9993601668520051,1.1702778228589004e-16
165,0.9993651430392825,0.0
166,0.9993650135709011,1.1702778228589004e-16
167,0.9993660855772186,0.0
168,0.9993676449004949,0.0
169,0.9993677094934821,0.0
170,0.9993686143360272,1.1702778228589004e-16
171,0.9993729956697516,0.0
172,0.9993861080834868,0.0
173,0.9993881642338642,2.340555645717801e-16
174,0.9993911354528315,1.1702778228589004e-16
175,0.9993940335189608,0.0
176,0.9993938536232619,1.1702778228589004e-16
177,0.9994092309390796,0.0
178,0.999411268777471,2.340555645717801e-16
179,0.9994051322267966,0.0
180,0.999419953218703,0.0
