adhesivity,particle_size,time_throughput_100,efficiency_throughput_100,total_throughput
0.05,0.07,109.00086803455427,0.1258778022789221,100.0
0.1,0.07,118.70582850643635,0.2089826446285883,100.0
0.15,0.07,129.19141170051415,0.2841388005025641,100.0
0.2,0.07,140.58180891583197,0.3521111978984264,100.0
0.25,0.07,153.1194317437549,0.4135906013818067,100.0
0.3,0.07,167.18530416622644,0.4692009554240958,100.0
0.35,0.07,183.48283457627574,0.519505892568713,100.0
0.4,0.07,203.36818630383775,0.5650146045694395,100.0
0.45,0.07,229.78223804064004,0.6061870918103067,100.0
0.5,0.07,270.92683097510445,0.6434390171741005,100.0
0.0,0.08,99.99999999999997,0.0,100.0
0.05,0.08,110.42409295944518,0.12587797928909128,100.0
0.1,0.08,121.97628805668948,0.20898264563151203,100.0
0.15,0.08,134.84232597657595,0.2841388012980127,100.0
0.2,0.08,149.35468238822858,0.35211119710025884,100.0
0.25,0.08,166.05067282759092,0.4135906014667655,100.0
0.3,0.08,185.920155012693,0.4692009558581739,100.0
0.35,0.08,210.98958667849678,0.5195058941541763,100.0
0.4,0.08,246.11680183837638,0.5650145983164038,100.0
0.0,0.09,99.99999999999997,0.0,100.0
0.05,0.09,111.88393974420278,0.1258779672255541,100.0
0.1,0.09,125.43526373701722,0.2089826457388293,100.0
0.15,0.09,141.04143435917598,0.2841388002272276,100.0
0.2,0.09,159.36432992486544,0.35211119871938235,100.0
0.25,0.09,181.55993533068914,0.4135906006643604,100.0
0.3,0.09,210.06044411136457,0.4692009557204736,100.0
0.35,0.09,250.8528129867108,0.5195058938866581,100.0
0.0,0.1,99.99999999999997,0.0,100.0
0.05,0.1,113.38412516552017,0.1258779561981629,100.0
0.1,0.1,129.0999796715469,0.20898265124689241,100.0
0.15,0.1,147.8461688671415,0.2841387995486321,100.0
0.2,0.1,170.85218596553233,0.35211119824749504,100.0
0.25,0.1,200.55042782589425,0.4135906018572362,100.0
0.3,0.1,242.77848429006087,0.46920095441909626,100.0
0.915,0.04,238.8096344637579,0.8432228405624453,100.05160731223532
0.712,0.05,255.3847482647543,0.7656626027723895,100.09524982176572
0.594,0.06,267.21971629312793,0.7040708962167037,100.08477885307457
0.509,0.07,275.89737682637224,0.6498546116072592,100.04907579513656
0.44,0.08,283.24843167172367,0.5984385308539532,100.06573558763967
0.381,0.09,289.8752548568709,0.5482747583974735,100.1975700719754
0.334,0.1,294.00207180573216,0.5037806452975256,100.24190082903942
