adhesivity,particle_size,time_throughput_100,efficiency_throughput_100,total_throughput
0.0,0.01,99.99999999999997,0.0,100.0
0.05,0.01,101.19236959938112,0.12587695011677058,100.0
0.1,0.01,102.29735290186477,0.20898202247291953,100.0
0.15,0.01,103.31958698058013,0.28413846650187335,100.0
0.2,0.01,104.26425842722523,0.35211107397942865,100.0
0.25,0.01,105.13678947092481,0.41359061770418504,100.0
0.3,0.01,105.94258131603084,0.469201060134287,100.0
0.35,0.01,106.68658468452536,0.5195060495478854,100.0
0.4,0.01,107.37357941736713,0.5650146953616895,100.0
0.45,0.01,108.00886076232126,0.6061870911203069,100.0
0.5,0.01,108.5966145676133,0.6434390059835888,100.0
0.55,0.01,109.14078467065644,0.677145938847715,100.0
0.6,0.01,109.64615973250085,0.707647216007361,100.0
0.65,0.01,110.11603721072525,0.7352495502260838,100.0
0.7,0.01,110.5538575309376,0.7602301151966131,100.0
0.75,0.01,110.96278954325085,0.7828394246443964,100.0
0.8,0.01,111.3456990320457,0.803303915183052,100.0
0.85,0.01,111.70491217983547,0.821828272190027,100.0
0.9,0.01,112.04365962472082,0.8385975300733681,100.0
0.95,0.01,112.36381949849611,0.8537789727364183,100.0
1.0,0.01,112.66748808726162,0.8675238439528424,100.0
0.0,0.02,99.99999999999997,0.0,100.0
0.05,0.02,102.41414019219259,0.12587729423732152,100.0
0.1,0.02,104.70464254502377,0.20898258516731227,100.0
0.15,0.02,106.87256908399888,0.28413904770300846,100.0
0.2,0.02,108.92119644944334,0.3521110949144258,100.0
0.25,0.02,110.85300473058139,0.4135906017457641,100.0
0.3,0.02,112.67688816552491,0.46920096007768874,100.0
0.35,0.02,114.3988032714955,0.5195058941259689,100.0
0.4,0.02,116.02660819304704,0.5650145988479449,100.0
0.45,0.02,117.56847293758247,0.6061870929035287,100.0
0.5,0.02,119.03122021070962,0.6434390172347614,100.0
0.55,0.02,120.4263633176607,0.6771459330493856,100.0
0.6,0.02,121.76118707690632,0.7076472138827536,100.0
0.65,0.02,123.04412151351345,0.7352495490123572,100.0
0.7,0.02,124.28356878157135,0.7602301137132506,100.0
0.75,0.02,125.48715750938489,0.7828394236009278,100.0
0.8,0.02,126.66445275165407,0.8033039159063282,100.0
0.85,0.02,127.8229583789122,0.8218282717872112,100.0
0.9,0.02,128.96950541923044,0.8385975297307082,100.0
0.95,0.02,130.11360001763242,0.8537789722844689,100.0
1.0,0.02,131.26407884374746,0.8675238439602755,100.0
0.0,0.03,99.99999999999997,0.0,100.0
0.05,0.03,103.66605317809174,0.12587763333411484,100.0
