n,adhesivity,Optimal Time,Optimal Retained,Optimal Score,particle_size
0.097,0.55,0.9999999999999999,0.0,0.09699999999999999,0.06
0.098,0.55,0.9999999999999999,0.0,0.09799999999999999,0.06
0.099,0.55,0.9999999999999999,0.0,0.09899999999999999,0.06
0.1,0.55,0.9999999999999999,0.0,0.09999999999999999,0.06
0.101,0.55,0.9999999999999999,0.0,0.10099999999999999,0.06
0.10200000000000001,0.55,0.9999999999999999,0.0,0.102,0.06
0.10300000000000001,0.55,0.9999999999999999,0.0,0.103,0.06
0.10400000000000001,0.55,0.9999999999999999,0.0,0.104,0.06
0.105,0.55,0.9999999999999999,0.0,0.10499999999999998,0.06
0.106,0.55,0.9999999999999999,0.0,0.10599999999999998,0.06
0.107,0.55,0.9999999999999999,0.0,0.10699999999999998,0.06
0.108,0.55,0.9999999999999999,0.0,0.10799999999999998,0.06
0.109,0.55,0.9999999999999999,0.0,0.10899999999999999,0.06
0.11,0.55,0.9999999999999999,0.0,0.10999999999999999,0.06
0.111,0.55,0.9999999999999999,0.0,0.11099999999999999,0.06
0.112,0.55,0.9999999999999999,0.0,0.11199999999999999,0.06
0.113,0.55,0.9999999999999999,0.0,0.11299999999999999,0.06
0.114,0.55,0.9999999999999999,0.0,0.11399999999999999,0.06
0.115,0.55,0.9999999999999999,0.0,0.11499999999999999,0.06
0.116,0.55,0.9999999999999999,0.0,0.11599999999999999,0.06
0.117,0.55,0.9999999999999999,0.0,0.11699999999999999,0.06
0.11800000000000001,0.55,0.9999999999999999,0.0,0.118,0.06
0.11900000000000001,0.55,0.9999999999999999,0.0,0.119,0.06
0.12,0.55,0.9999999999999999,0.0,0.11999999999999998,0.06
0.121,0.55,0.9999999999999999,0.0,0.12099999999999998,0.06
0.122,0.55,0.9999999999999999,0.0,0.12199999999999998,0.06
0.123,0.55,0.9999999999999999,0.0,0.12299999999999998,0.06
0.124,0.55,0.9999999999999999,0.0,0.12399999999999999,0.06
0.125,0.55,0.9999999999999999,0.0,0.12499999999999999,0.06
0.126,0.55,0.9999999999999999,0.0,0.12599999999999997,0.06
0.127,0.55,0.9999999999999999,0.0,0.12699999999999997,0.06
0.128,0.55,0.9999999999999999,0.0,0.12799999999999997,0.06
0.129,0.55,0.9999999999999999,0.0,0.12899999999999998,0.06
0.13,0.55,0.9999999999999999,0.0,0.12999999999999998,0.06
0.131,0.55,0.9999999999999999,0.0,0.13099999999999998,0.06
0.132,0.55,0.9999999999999999,0.0,0.13199999999999998,0.06
0.133,0.55,0.9999999999999999,0.0,0.13299999999999998,0.06
0.134,0.55,0.9999999999999999,0.0,0.13399999999999998,0.06
0.135,0.55,0.9999999999999999,0.0,0.13499999999999998,0.06
0.136,0.55,0.9999999999999999,0.0,0.13599999999999998,0.06
0.137,0.55,0.9999999999999999,0.0,0.13699999999999998,0.06
0.138,0.55,0.9999999999999999,0.0,0.13799999999999998,0.06
0.139,0.55,0.9999999999999999,0.0,0.13899999999999998,0.06
0.14,0.55,0.9999999999999999,0.0,0.13999999999999999,0.06
0.14100000000000001,0.55,0.9999999999999999,0.0,0.141,0.06
0.14200000000000002,0.55,0.9999999999999999,0.0,0.142,0.06
0.14300000000000002,0.55,0.9999999999999999,0.0,0.143,0.06
0.14400000000000002,0.55,0.9999999999999999,0.0,0.144,0.06
0.145,0.55,0.9999999999999999,0.0,0.14499999999999996,0.06
0.146,0.55,0.9999999999999999,0.0,0.14599999999999996,0.06
0.147,0.55,0.9999999999999999,0.0,0.14699999999999996,0.06
0.148,0.55,0.9999999999999999,0.0,0.14799999999999996,0.06
0.149,0.55,0.9999999999999999,0.0,0.14899999999999997,0.06
0.15,0.55,0.9999999999999999,0.0,0.14999999999999997,0.06
0.151,0.55,0.9999999999999999,0.0,0.15099999999999997,0.06
0.152,0.55,0.9999999999999999,0.0,0.15199999999999997,0.06
0.153,0.55,0.9999999999999999,0.0,0.15299999999999997,0.06
0.154,0.55,0.9999999999999999,0.0,0.15399999999999997,0.06
0.155,0.55,0.9999999999999999,0.0,0.15499999999999997,0.06
0.156,0.55,0.9999999999999999,0.0,0.15599999999999997,0.06
0.157,0.55,0.9999999999999999,0.0,0.15699999999999997,0.06
0.158,0.55,0.9999999999999999,0.0,0.15799999999999997,0.06
0.159,0.55,0.9999999999999999,0.0,0.15899999999999997,0.06
0.16,0.55,0.9999999999999999,0.0,0.15999999999999998,0.06
0.161,0.55,0.9999999999999999,0.0,0.16099999999999998,0.06
0.162,0.55,0.9999999999999999,0.0,0.16199999999999998,0.06
0.163,0.55,0.9999999999999999,0.0,0.16299999999999998,0.06
0.164,0.55,0.9999999999999999,0.0,0.16399999999999998,0.06
0.165,0.55,0.9999999999999999,0.0,0.16499999999999998,0.06
0.166,0.55,0.9999999999999999,0.0,0.16599999999999998,0.06
0.167,0.55,0.9999999999999999,0.0,0.16699999999999998,0.06
0.168,0.55,0.9999999999999999,0.0,0.16799999999999998,0.06
0.169,0.55,0.9999999999999999,0.0,0.16899999999999998,0.06
0.17,0.55,0.9999999999999999,0.0,0.16999999999999998,0.06
0.171,0.55,0.9999999999999999,0.0,0.17099999999999999,0.06
0.17200000000000001,0.55,0.9999999999999999,0.0,0.172,0.06
0.17300000000000001,0.55,0.9999999999999999,0.0,0.173,0.06
0.17400000000000002,0.55,0.9999999999999999,0.0,0.174,0.06
0.17500000000000002,0.55,0.9999999999999999,0.0,0.175,0.06
0.176,0.55,0.9999999999999999,0.0,0.17599999999999996,0.06
0.177,0.55,0.9999999999999999,0.0,0.17699999999999996,0.06
0.178,0.55,0.9999999999999999,0.0,0.17799999999999996,0.06
0.179,0.55,0.9999999999999999,0.0,0.17899999999999996,0.06
0.18,0.55,0.9999999999999999,0.0,0.17999999999999997,0.06
0.181,0.55,0.9999999999999999,0.0,0.18099999999999997,0.06
0.182,0.55,0.9999999999999999,0.0,0.18199999999999997,0.06
0.183,0.55,0.9999999999999999,0.0,0.18299999999999997,0.06
0.184,0.55,0.9999999999999999,0.0,0.18399999999999997,0.06
0.185,0.55,0.9999999999999999,0.0,0.18499999999999997,0.06
0.186,0.55,0.9999999999999999,0.0,0.18599999999999997,0.06
0.187,0.55,0.9999999999999999,0.0,0.18699999999999997,0.06
0.188,0.55,0.9999999999999999,0.0,0.18799999999999997,0.06
0.189,0.55,0.9999999999999999,0.0,0.18899999999999997,0.06
0.19,0.55,0.9999999999999999,0.0,0.18999999999999997,0.06
0.191,0.55,0.9999999999999999,0.0,0.19099999999999998,0.06
0.192,0.55,0.9999999999999999,0.0,0.19199999999999998,0.06
0.193,0.55,0.9999999999999999,0.0,0.19299999999999998,0.06
0.194,0.55,0.9999999999999999,0.0,0.19399999999999998,0.06
0.195,0.55,0.9999999999999999,0.0,0.19499999999999998,0.06
0.196,0.55,0.9999999999999999,0.0,0.19599999999999998,0.06
0.197,0.55,0.9999999999999999,0.0,0.19699999999999998,0.06
0.198,0.55,0.9999999999999999,0.0,0.19799999999999998,0.06
0.199,0.55,0.9999999999999999,0.0,0.19899999999999998,0.06
0.2,0.55,0.9999999999999999,0.0,0.19999999999999998,0.06
0.201,0.55,0.9999999999999999,0.0,0.20099999999999998,0.06
0.202,0.55,0.9999999999999999,0.0,0.20199999999999999,0.06
0.203,0.55,0.9999999999999999,0.0,0.20299999999999999,0.06
0.20400000000000001,0.55,0.9999999999999999,0.0,0.204,0.06
0.20500000000000002,0.55,0.9999999999999999,0.0,0.205,0.06
0.20600000000000002,0.55,0.9999999999999999,0.0,0.206,0.06
0.20700000000000002,0.55,0.9999999999999999,0.0,0.207,0.06
0.20800000000000002,0.55,0.9999999999999999,0.0,0.208,0.06
0.209,0.55,0.9999999999999999,0.0,0.20899999999999996,0.06
0.21,0.55,0.9999999999999999,0.0,0.20999999999999996,0.06
0.211,0.55,0.9999999999999999,0.0,0.21099999999999997,0.06
0.212,0.55,0.9999999999999999,0.0,0.21199999999999997,0.06
0.213,0.55,0.9999999999999999,0.0,0.21299999999999997,0.06
0.214,0.55,0.9999999999999999,0.0,0.21399999999999997,0.06
0.215,0.55,0.9999999999999999,0.0,0.21499999999999997,0.06
0.216,0.55,0.9999999999999999,0.0,0.21599999999999997,0.06
0.217,0.5,0.819430933250063,0.04977792038281065,0.21679262417500442,0.06
0.218,0.5,0.819430933250063,0.04977792038281065,0.2175622771878717,0.06
0.219,0.5,0.819430933250063,0.04977792038281065,0.2183319302007389,0.06
0.22,0.5,0.819430933250063,0.04977792038281065,0.21910158321360618,0.06
0.221,0.5,0.819430933250063,0.04977792038281065,0.21987123622647342,0.06
0.222,0.5,0.819430933250063,0.04977792038281065,0.2206408892393407,0.06
0.223,0.5,0.819430933250063,0.04977792038281065,0.2214105422522079,0.06
0.224,0.5,0.819430933250063,0.04977792038281065,0.22218019526507518,0.06
0.225,0.5,0.819430933250063,0.04977792038281065,0.22294984827794245,0.06
0.226,0.5,0.819430933250063,0.04977792038281065,0.2237195012908097,0.06
0.227,0.5,0.819430933250063,0.04977792038281065,0.22448915430367694,0.06
0.228,0.5,0.819430933250063,0.04977792038281065,0.22525880731654419,0.06
