adhesivity,particle_size,avg_retained_particles_throughput_100,time_throughput_100
0.0,0.01,0.0,99.99999999999997
0.05,0.01,0.12587695011677058,101.19236959938112
0.1,0.01,0.20898202247291953,102.29735290186477
0.15,0.01,0.28413846650187335,103.31958698058013
0.2,0.01,0.35211107397942865,104.26425842722523
0.25,0.01,0.41359061770418504,105.13678947092481
0.3,0.01,0.469201060134287,105.94258131603084
0.35,0.01,0.5195060495478854,106.68658468452536
0.4,0.01,0.5650146953616895,107.37357941736713
0.45,0.01,0.6061870911203069,108.00886076232126
0.5,0.01,0.6434390059835888,108.5966145676133
0.55,0.01,0.677145938847715,109.14078467065644
0.6,0.01,0.707647216007361,109.64615973250085
0.65,0.01,0.7352495502260838,110.11603721072525
0.7,0.01,0.7602301151966131,110.5538575309376
0.75,0.01,0.7828394246443964,110.96278954325085
0.8,0.01,0.803303915183052,111.3456990320457
0.85,0.01,0.821828272190027,111.70491217983547
0.9,0.01,0.8385975300733681,112.04365962472082
0.95,0.01,0.8537789727364183,112.36381949849611
1.0,0.01,0.8675238439528424,112.66748808726162
0.0,0.02,0.0,99.99999999999997
0.05,0.02,0.12587729423732152,102.41414019219259
0.1,0.02,0.20898258516731227,104.70464254502377
0.15,0.02,0.28413904770300846,106.87256908399888
0.2,0.02,0.3521110949144258,108.92119644944334
0.25,0.02,0.4135906017457641,110.85300473058139
0.3,0.02,0.46920096007768874,112.67688816552491
0.35,0.02,0.5195058941259689,114.3988032714955
0.4,0.02,0.5650145988479449,116.02660819304704
0.45,0.02,0.6061870929035287,117.56847293758247
0.5,0.02,0.6434390172347614,119.03122021070962
0.55,0.02,0.6771459330493856,120.4263633176607
0.6,0.02,0.7076472138827536,121.76118707690632
0.65,0.02,0.7352495490123572,123.04412151351345
0.7,0.02,0.7602301137132506,124.28356878157135
0.75,0.02,0.7828394236009278,125.48715750938489
0.8,0.02,0.8033039159063282,126.66445275165407
0.85,0.02,0.8218282717872112,127.8229583789122
0.9,0.02,0.8385975297307082,128.96950541923044
0.95,0.02,0.8537789722844689,130.11360001763242
1.0,0.02,0.8675238439602755,131.26407884374746
0.0,0.03,0.0,99.99999999999997
0.05,0.03,0.12587763333411484,103.66605317809174
0.1,0.03,0.20898295569518777,107.23036594271966
0.15,0.03,0.28413877388770403,110.68584233061472
0.2,0.03,0.35211119975126404,114.02549238300041
0.25,0.03,0.413590601264461,117.25537412701951
0.3,0.03,0.46920095523977035,120.3802720865776
0.35,0.03,0.5195058937075906,123.40567299400092
0.4,0.03,0.5650145987501498,126.34872801760277
0.45,0.03,0.6061870939583072,129.22301912913335
0.5,0.03,0.6434390178295843,132.04702583639434
0.55,0.03,0.6771459328001537,134.84056324548388
0.6,0.03,0.7076472137793117,137.62755383576763
0.65,0.03,0.7352495489464778,140.43784228825277
0.7,0.03,0.7602301136063361,143.30306223768272
0.75,0.03,0.7828394232038731,146.2593245713499
0.8,0.03,0.8033039147813482,149.35325089953523
0.85,0.03,0.821828271164506,152.64316960517567
0.9,0.03,0.8385975295672118,156.19688181152375
0.95,0.03,0.8537789727171987,160.12372869871655
1.0,0.03,0.8675238432507701,164.5493881797441
0.0,0.04,0.0,99.99999999999997
0.05,0.04,0.12587793629410415,104.94927741563268
0.1,0.04,0.20898268361207206,109.88334075379672
0.15,0.04,0.28413880212699194,114.78453765630267
0.2,0.04,0.35211119736609686,119.64915173846667
0.25,0.04,0.41359060328869146,124.47716830524318
0.3,0.04,0.46920095593332223,129.2835701519472
0.35,0.04,0.5195058941909154,134.0885122685114
0.4,0.04,0.5650145982154176,138.92638661325452
0.45,0.04,0.6061870933382181,143.84055166935403
0.5,0.04,0.6434390182810177,148.89848070655287
0.55,0.04,0.6771459334612422,154.18183057317125
0.6,0.04,0.7076472135426075,159.80580805496717
0.65,0.04,0.73524954910072,165.92859470599944
0.7,0.04,0.7602301145066113,172.7861860533086
0.75,0.04,0.7828394230354436,180.74288186520616
0.8,0.04,0.8033039140821572,190.41012113504462
0.85,0.04,0.8218282717258852,202.9474937335996
0.9,0.04,0.8385975297307955,221.12495341384476
0.0,0.05,0.0,99.99999999999997
0.05,0.05,0.12587817469369167,106.26567205441751
0.1,0.05,0.20898264652756693,112.67367764569015
0.15,0.05,0.28413880000065506,119.20814073202843
0.2,0.05,0.3521111983041745,125.87416091067705
0.25,0.05,0.4135906004784775,132.6953378839287
0.3,0.05,0.4692009553957779,139.71317569644754
0.35,0.05,0.5195058939277203,147.00538953725723
0.4,0.05,0.565014598521041,154.67516079813626
0.45,0.05,0.6061870947654305,162.9132385268621
0.5,0.05,0.6434390173915863,171.979178887524
0.55,0.05,0.6771459335024986,182.30928514688048
0.6,0.05,0.7076472144672088,194.63859944979535
0.65,0.05,0.7352495490893491,210.39459488008504
0.7,0.05,0.7602301125441494,232.89677200586192
0.0,0.06,0.0,99.99999999999997
0.05,0.06,0.1258783463278753,107.61564620731836
0.1,0.06,0.20898264735402616,115.60879698826847
0.15,0.06,0.2841388000883591,123.9952286988844
0.2,0.06,0.35211119703759564,132.80844597767268
0.25,0.06,0.4135906013394093,142.13796893442486
0.3,0.06,0.4692009549994125,152.12737691254063
0.35,0.06,0.5195058939900896,162.99942212798948
0.4,0.06,0.5650145989147182,175.16498396218574
0.45,0.06,0.60618709243011,189.30368132818765
0.5,0.06,0.6434390170305946,206.72536478044054
0.55,0.06,0.6771459333904484,230.24327060383436
0.0,0.07,0.0,99.99999999999997
0.05,0.07,0.1258778022789221,109.00086803455427
0.1,0.07,0.2089826446285883,118.70582850643635
