adhesivity,particle_size,avg_retained_particles_throughput_100,time_throughput_100,ratio,n
0.0,0.01,0.0,99.99999999999997,0.0,0.1
0.05,0.01,0.12587695011677058,101.19236959938112,0.008032428259022529,0.1
0.1,0.01,0.20898202247291953,102.29735290186477,0.008358849328043474,0.1
0.15,0.01,0.28413846650187335,103.31958698058013,0.00853434788127392,0.1
0.2,0.01,0.35211107397942865,104.26425842722523,0.00864037336965955,0.1
0.25,0.01,0.41359061770418504,105.13678947092481,0.008707677917818377,0.1
0.3,0.01,0.469201060134287,105.94258131603084,0.008751154434665252,0.1
0.35,0.01,0.5195060495478854,106.68658468452536,0.008779084889568545,0.1
0.4,0.01,0.5650146953616895,107.37357941736713,0.008796472378205272,0.1
0.45,0.01,0.6061870911203069,108.00886076232126,0.008806458301353652,0.1
0.5,0.01,0.6434390059835888,108.5966145676133,0.008811187679565128,0.1
0.55,0.01,0.677145938847715,109.14078467065644,0.008812135287259541,0.1
0.6,0.01,0.707647216007361,109.64615973250085,0.008810250459068768,0.1
0.65,0.01,0.7352495502260838,110.11603721072525,0.008806288372984465,0.1
0.7,0.01,0.7602301151966131,110.5538575309376,0.008800768678127185,0.1
0.75,0.01,0.7828394246443964,110.96278954325085,0.008794069686945644,0.1
0.8,0.01,0.803303915183052,111.3456990320457,0.008786472259695905,0.1
0.85,0.01,0.821828272190027,111.70491217983547,0.008778207374174346,0.1
0.9,0.01,0.8385975300733681,112.04365962472082,0.008769363498513006,0.1
0.95,0.01,0.8537789727364183,112.36381949849611,0.00876007959103352,0.1
1.0,0.01,0.8675238439528424,112.66748808726162,0.008750432723902923,0.1
0.0,0.02,0.0,99.99999999999997,0.0,0.1
0.05,0.02,0.12587729423732152,102.41414019219259,0.007936605920330408,0.1
0.1,0.02,0.20898258516731227,104.70464254502377,0.008166671209761358,0.1
0.15,0.02,0.28413904770300846,106.87256908399888,0.008250624890587418,0.1
0.2,0.02,0.3521110949144258,108.92119644944334,0.008270953282231932,0.1
0.25,0.02,0.4135906017457641,110.85300473058139,0.008258660184438627,0.1
0.3,0.02,0.46920096007768874,112.67688816552491,0.008228128107078871,0.1
0.35,0.02,0.5195058941259689,114.3988032714955,0.008187240851462206,0.1
0.4,0.02,0.5650145988479449,116.02660819304704,0.008140449195831498,0.1
0.45,0.02,0.6061870929035287,117.56847293758247,0.008090396217571736,0.1
0.5,0.02,0.6434390172347614,119.03122021070962,0.00803877463660344,0.1
0.55,0.02,0.6771459330493856,120.4263633176607,0.007986319046395176,0.1
0.6,0.02,0.7076472138827536,121.76118707690632,0.00793364578663491,0.1
0.65,0.02,0.7352495490123572,123.04412151351345,0.0078810232141107,0.1
0.7,0.02,0.7602301137132506,124.28356878157135,0.00782854029662235,0.1
0.75,0.02,0.7828394236009278,125.48715750938489,0.007776210116945104,0.1
0.8,0.02,0.8033039159063282,126.66445275165407,0.007723839440476563,0.1
0.85,0.02,0.8218282717872112,127.8229583789122,0.007671304875245619,0.1
0.9,0.02,0.8385975297307082,128.96950541923044,0.007618479854743921,0.1
0.95,0.02,0.8537789722844689,130.11360001763242,0.007565050861507598,0.1
1.0,0.02,0.8675238439602755,131.26407884374746,0.007510731674376296,0.1
0.0,0.03,0.0,99.99999999999997,0.0,0.1
0.05,0.03,0.12587763333411484,103.66605317809174,0.007840762384783855,0.1
0.1,0.03,0.20898295569518777,107.23036594271966,0.007974313375609839,0.1
0.15,0.03,0.28413877388770403,110.68584233061472,0.00796637921405371,0.1
0.2,0.03,0.35211119975126404,114.02549238300041,0.0079007083001655,0.1
0.25,0.03,0.413590601264461,117.25537412701951,0.007807721421753925,0.1
0.3,0.03,0.46920095523977035,120.3802720865776,0.007701593072577556,0.1
0.35,0.03,0.5195058937075906,123.40567299400092,0.00758968799978003,0.1
0.4,0.03,0.5650145987501498,126.34872801760277,0.007475411301427666,0.1
0.45,0.03,0.6061870939583072,129.22301912913335,0.007360728261385793,0.1
0.5,0.03,0.6434390178295843,132.04702583639434,0.007246396865218453,0.1
0.55,0.03,0.6771459328001537,134.84056324548388,0.0071325967191756875,0.1
0.6,0.03,0.7076472137793117,137.62755383576763,0.007019016918421668,0.1
0.65,0.03,0.7352495489464778,140.43784228825277,0.006904930766515218,0.1
0.7,0.03,0.7602301136063361,143.30306223768272,0.006789519436696561,0.1
0.75,0.03,0.7828394232038731,146.2593245713499,0.006671810543235733,0.1
0.8,0.03,0.8033039147813482,149.35325089953523,0.0065504827637845545,0.1
0.85,0.03,0.821828271164506,152.64316960517567,0.00642392899887032,0.1
0.9,0.03,0.8385975295672118,156.19688181152375,0.006290468590014119,0.1
0.95,0.03,0.8537789727171987,160.12372869871655,0.006147221339125761,0.1
1.0,0.03,0.8675238432507701,164.5493881797441,0.005991449044599319,0.1
0.0,0.04,0.0,99.99999999999997,0.0,0.1
0.05,0.04,0.12587793629410415,104.94927741563268,0.007744894543168592,0.1
0.1,0.04,0.20898268361207206,109.88334075379672,0.00778178406494819,0.1
0.15,0.04,0.28413880212699194,114.78453765630267,0.00768191796909409,0.1
0.2,0.04,0.35211119736609686,119.64915173846667,0.0075293651513699015,0.1
0.25,0.04,0.41359060328869146,124.47716830524318,0.007354740707069968,0.1
0.3,0.04,0.46920095593332223,129.2835701519472,0.007171211845591705,0.1
0.35,0.04,0.5195058941909154,134.0885122685114,0.0069850171328542186,0.1
0.4,0.04,0.5650145982154176,138.92638661325452,0.006798627188683369,0.1
0.45,0.04,0.6061870933382181,143.84055166935403,0.006612707736373085,0.1
