adhesivity,particle_size,volume_time_400_scaled,efficiency_time_400
0.0,0.01,0.9999999999999996,0.0
0.01,0.01,0.9902238080821296,0.028207855857350674
0.02,0.01,0.9808281128584382,0.04752386969292176
0.03,0.01,0.9717767029065884,0.06645079972525175
0.04,0.01,0.9630664372495206,0.08499649264604198
0.05,0.01,0.9546815492741455,0.1031687454943163
0.06,0.01,0.9466000662118376,0.12097525396503384
0.07,0.01,0.9388030294745139,0.13842353564587215
0.08,0.01,0.9312926639837914,0.15552074311484082
0.09,0.01,0.9240397830559536,0.17227430460828172
0.1,0.01,0.9170357176470527,0.1886910948281079
0.11,0.01,0.9102674449049067,0.20477804334355731
0.12,0.01,0.9037266607410683,0.22054186304084644
0.13,0.01,0.8974022675265337,0.23598915442449497
0.14,0.01,0.8912828330057758,0.251126388224776
0.15,0.01,0.8853703434004255,0.2659597982709181
0.16,0.01,0.8796438455347496,0.2804956722895425
0.17,0.01,0.874089747423394,0.2947401169002518
0.18,0.01,0.8687066409667848,0.30869901681891027
0.19,0.01,0.863487204358713,0.3223781827162746
0.2,0.01,0.858424190640042,0.33578330496552494
0.21,0.01,0.8535369098682569,0.3492056296606349
0.22,0.01,0.8487698262956708,0.3621008718343437
0.23,0.01,0.8441400339863512,0.374738714968352
0.24,0.01,0.8396416859659921,0.3871243560838006
0.25,0.01,0.8352692606678335,0.39926288338697863
0.26,0.01,0.8310175227853689,0.4111592716752266
0.27,0.01,0.8268822207676148,0.4228184063402648
0.28,0.01,0.822856825679234,0.4342450628865788
0.29,0.01,0.8189382296801334,0.4454439206035875
0.3,0.01,0.8151260635699867,0.45641953641300737
0.31,0.01,0.8114078337356664,0.46717646135405394
0.32,0.01,0.8077942219223496,0.4777189923130173
0.33,0.01,0.8042609809584127,0.48805158236481155
0.34,0.01,0.8008144629677963,0.4981783850251293
0.35,0.01,0.7974512417045803,0.508103535324922
0.36,0.01,0.7941680370071782,0.5178310895615272
0.37,0.01,0.7909617214138297,0.5273650115818571
0.38,0.01,0.7878292965631055,0.5367091916191459
0.39,0.01,0.7847678882787646,0.5458674413633685
0.4,0.01,0.7817765350731259,0.554843479319285
0.41,0.01,0.7787315255228154,0.5629135572642012
0.42,0.01,0.7758612332637407,0.5715153910231945
0.43,0.01,0.7730515213271257,0.5799460518137803
0.44,0.01,0.7703007799766874,0.5882089854342845
0.45,0.01,0.767605391259315,0.5963075808157894
0.46,0.01,0.7649638980210338,0.6042451447983562
0.47,0.01,0.7623742360368289,0.6120249203925077
0.48,0.01,0.7598344424555316,0.6196500852791089
0.49,0.01,0.7573426133247757,0.6271237506327337
0.5,0.01,0.754896906162128,0.634448964235938
0.51,0.01,0.7524956100990094,0.6416287129626796
0.52,0.01,0.7501370109679687,0.6486659200100545
0.53,0.01,0.7478205241176538,0.6555634464523029
0.54,0.01,0.7455450993978807,0.6623240963652687
0.55,0.01,0.743302515161632,0.6689506531713226
0.56,0.01,0.7411001276265416,0.675445764750223
0.57,0.01,0.7389312017380187,0.6818120963284269
0.58,0.01,0.7367975073703434,0.6880522191370722
0.59,0.01,0.734695794785835,0.6941686724096003
0.6,0.01,0.7326253376879993,0.7001639348255108
0.61,0.01,0.7305872300146974,0.7060404251037277
0.62,0.01,0.7285733198322116,0.711800606680468
0.63,0.01,0.7265892224037935,0.7174466306967812
0.64,0.01,0.7246318484112895,0.7229809400760102
0.65,0.01,0.722700105261148,0.7284057240692623
0.66,0.01,0.7207932470954923,0.7337231730585667
0.67,0.01,0.7189095982910892,0.7389354401367145
0.68,0.01,0.7170453984484974,0.7440446423016014
0.69,0.01,0.7152060079843464,0.7490528123271979
0.7,0.01,0.7133874063658001,0.7539619850396878
0.71,0.01,0.7115886986520168,0.7587741397878187
0.72,0.01,0.7098087024429691,0.7634912171020948
0.73,0.01,0.7080472828370361,0.7681151140886247
0.74,0.01,0.7063040375813046,0.772647690691103
0.75,0.01,0.7045811569205651,0.7770907593430706
0.76,0.01,0.7028697981706103,0.7814461383248865
0.77,0.01,0.7011736302407588,0.7857155611717545
0.78,0.01,0.6994936428489882,0.7899007366191579
0.79,0.01,0.6978258176287803,0.7940033582527338
0.8,0.01,0.6961704793285663,0.7980250685268349
0.81,0.01,0.6945284621369148,0.8019674756063596
0.82,0.01,0.6928983194069032,0.8058321634001532
0.83,0.01,0.6912794596416545,0.8096206806505178
0.84,0.01,0.6896712654388001,0.813334545227189
0.85,0.01,0.6880731437319831,0.8169752441736122
0.86,0.01,0.6864847544204115,0.8205442339283038
0.87,0.01,0.6849007488097645,0.8240429575098259
0.88,0.01,0.6833294198495484,0.8274727852561815
0.89,0.01,0.6817659854891275,0.8308351019636581
0.9,0.01,0.6802099521207837,0.8341312505693308
0.91,0.01,0.6786660567238039,0.8373625313460306
0.92,0.01,0.6771238308927203,0.8405302644796552
0.93,0.01,0.6755868471013374,0.8436357010794386
0.94,0.01,0.6740556865560086,0.8466800761103235
0.95,0.01,0.6725295369122933,0.8496646043372259
0.96,0.01,0.6710079715341664,0.8525904744619054
0.97,0.01,0.6694960305091777,0.8554588363383269
0.98,0.01,0.667982867767488,0.8582708608122661
0.99,0.01,0.6664730809508618,0.8610276524410462
1.0,0.01,0.6649662371772016,0.8637303076707105
0.0,0.02,0.9999999999999996,0.0
0.01,0.02,0.9806404599508532,0.028290028259689712
0.02,0.02,0.9623641957307753,0.047683516466798144
0.03,0.02,0.9450938529852441,0.06668322194808
0.04,0.02,0.9287509958359726,0.08529733652358328
0.05,0.02,0.9132816223716351,0.10353372240822152
