adhesivity,particle_size,avg_retained_particles,time,ratio,cluster
0.0,0.05,0.0007740735780692957,99.08193640624762,1.8644219478580037e-06,0
0.0075,0.05,0.02291085381171545,100.15405812396597,0.0001074931965929075,0
0.015,0.05,0.04349461873255971,101.2367775060296,0.0002295008621259859,0
0.0225,0.05,0.06269984791938189,102.32573837725369,0.00035215584227704416,0
0.03,0.05,0.0806850208181567,103.41714512386106,0.00047158388264267913,0
0.0375,0.05,0.09759362003511127,104.50772463399242,0.0005863505283079612,0
0.045,0.05,0.11355510241970969,105.59468974978881,0.0006959946567502305,0
0.0525,0.05,0.1286858374237522,106.67570420339919,0.0008005185226386086,0
0.06,0.05,0.14309001230086066,107.7488490092676,0.0009001575854747455,0
0.0675,0.05,0.15686050378923264,108.81259028505247,0.0009952614389089186,0
0.075,0.05,0.1700797159993846,109.86574847353245,0.001086227284966013,0
0.08249999999999999,0.05,0.18282038430738853,110.90746893785199,0.0011734612335999152,0
0.09,0.05,0.19514634513255466,111.93719390246027,0.0012573555138450097,0
0.0975,0.05,0.2071132715563716,112.95463571209704,0.0013382752780502,0
0.105,0.05,0.218769374816516,113.95975138117907,0.0014165514003441875,0
0.11249999999999999,0.05,0.23015607178565695,114.95271840594064,0.0014924771060139004,0
0.12,0.05,0.24130861861936198,115.93391181168178,0.0015663070772433342,0
0.1275,0.05,0.2522567108304366,116.90388240747765,0.001638258160641317,0
0.135,0.05,0.263025050118303,117.86333622070288,0.001708511098910611,0
0.1425,0.05,0.27363387835130804,118.81311508372416,0.001777212898823057,0
0.15,0.05,0.2840994791669955,119.754178345115,0.0018444795721535784,0
0.1575,0.05,0.2944346477201626,120.68758567774584,0.001910399069484568,0
0.16499999999999998,0.05,0.3046491291707974,121.61448095610342,0.00197503428329089,0
0.1725,0.05,0.3147500265635931,122.53607717519297,0.002038426035454324,0
0.18,0.05,0.32474217880749856,123.45364238337622,0.0021005959911041855,0
0.1875,0.05,0.33462850951756484,124.36848660149982,0.0021615494592324507,0
0.195,0.05,0.34441034753204025,125.28194970066693,0.002221278053436146,0
0.20249999999999999,0.05,0.3540877199651304,126.19539021100567,0.002279762195138663,0
0.21,0.05,0.36365961869999736,127.11017503378855,0.002336973447941435,0
0.2175,0.05,0.37312424126724436,128.02767002925566,0.0023928766761998274,0
0.22499999999999998,0.05,0.3824792070913369,128.94923145249572,0.0024474320240944307,0
0.23249999999999998,0.05,0.3917217501209771,129.87619820973862,0.0025005967137957125,0
0.24,0.05,0.40084888888933545,130.80988490741257,0.0025523266630865923,0
0.2475,0.05,0.4098575750762404,131.7515756663198,0.0026025779242144155,0
0.255,0.05,0.4187448216667812,132.70251867328454,0.002651307946925619,0
0.2625,0.05,0.4275078118193611,133.6639214426261,0.002698476669682105,0
0.27,0.05,0.4361439895709532,134.6369467598115,0.002744047444021417,0
0.27749999999999997,0.05,0.4446511335181527,135.62270927964104,0.0027879877979329294,0
0.285,0.05,0.45302741461959417,136.62227275131946,0.0028302700449915614,0
0.2925,0.05,0.4612714392683992,137.63664784276796,0.002870871746819012,0
0.3,0.05,0.46938227878256616,138.66679053652894,0.0029097760372227043,0
0.3075,0.05,0.4773594864566067,139.71360106961825,0.0029469718170818935,0
0.315,0.05,0.48520310330932825,140.77792338967777,0.0029824538296946315,0
0.3225,0.05,0.49291365365050704,141.86054509978246,0.00301622262685361,0
0.32999999999999996,0.05,0.5004921315733062,142.96219786425513,0.003048284436369721,0
0.33749999999999997,0.05,0.5079399794598032,144.08355824784238,0.0030786509420983746,0
0.345,0.05,0.5152590595638721,145.2252489606057,0.003107338987736139,0
0.3525,0.05,0.5224516197091233,146.3878404808811,0.0031343702157397065,0
0.36,0.05,0.5295202541096313,147.57185302866034,0.003159770652673057,0
0.3675,0.05,0.5364678602879227,148.77775886174888,0.003183570252114015,0
0.375,0.05,0.5432975930283097,150.0059848670517,0.003205802405953448,0
0.3825,0.05,0.5500128162641666,151.2569154193431,0.003226503434506219,0
0.39,0.05,0.5566170537553742,152.53089547987213,0.003245712065333776,0
0.39749999999999996,0.05,0.563113939367067,153.8282339071585,0.0032634689100663355,0
0.40499999999999997,0.05,0.5695071677130228,155.14920695233164,0.0032798159478209274,0
0.4125,0.05,0.5758004458768903,156.49406191136706,0.0032947960230562037,0
0.42,0.05,0.5819974468720119,157.8630209065734,0.0033084523649001955,0
0.4275,0.05,0.5881017654460676,159.25628476968376,0.0033208281341484515,0
0.435,0.05,0.5941168767803688,160.6740369989045,0.0033319660032719053,0
0.4425,0.05,0.6000460985755846,162.1164477622766,0.0033419077739102855,0
0.44999999999999996,0.05,0.60589255695616,163.58367791969982,0.0033506940354702482,0
0.45749999999999996,0.05,0.6116591565649194,165.07588303597817,0.0033583638676085055,0
0.46499999999999997,0.05,0.6173485551576707,166.59321735723566,0.0033649545885700294,0
0.4725,0.05,0.6229631429450879,168.13583772305716,0.003370501550575871,0
0.48,0.05,0.628505026866303,169.7039073867122,0.0033750379827230926,0
0.4875,0.05,0.6339760199153881,171.29759971580586,0.0033785948811735655,0
0.495,0.05,0.6393776355789167,172.91710174572236,0.0033812009457738876,0
0.5025,0.05,0.6447110873799766,174.56261755820287,0.003382882561666751,0
0.51,0.05,0.6499772934620704,176.23437145742236,0.00338366382392678,0
0.51,0.05,0.6499772934620704,176.23437145742236,0.00338366382392678,1
0.5175,0.05,0.6551768860851164,177.9326109159082,0.0033835666027799377,1
0.525,0.05,0.6603102258460871,179.65760926266458,0.003382610646546227,1
0.5325,0.05,0.6653774203785994,181.40966808584758,0.0033808137190783623,1
