adhesivity,particle_size,n
1.0,0.03,1
0.9,0.04,1
0.65,0.05,1
0.5,0.06,1
0.35,0.07,1
0.3,0.08,1
0.3,0.09,1
0.3,0.1,1
1.0,0.03,2
0.75,0.04,2
0.3,0.05,2
0.3,0.06,2
0.3,0.07,2
0.3,0.08,2
0.3,0.09,2
0.3,0.1,2
1.0,0.03,3
0.3,0.04,3
0.3,0.05,3
0.3,0.06,3
0.3,0.07,3
0.3,0.08,3
0.3,0.09,3
0.3,0.1,3
0.9,0.03,4
0.3,0.04,4
0.3,0.05,4
0.3,0.06,4
0.3,0.07,4
0.3,0.08,4
0.3,0.09,4
0.3,0.1,4
0.3,0.03,5
0.3,0.04,5
0.3,0.05,5
0.3,0.06,5
0.3,0.07,5
0.3,0.08,5
0.3,0.09,5
0.3,0.1,5
