adhesivity,particle_size,time_throughput_100_scaled,efficiency_throughput_100,time_throughput_100
0.0,0.01,1.0,0.0,100.0
0.01,0.01,0.9975490644030232,0.0532261723942086,100.24569574414303
0.02,0.01,0.9951473175439011,0.0719683546622689,100.48763458138798
0.03,0.01,0.9927908260208482,0.0903357917868997,100.7261523565892
0.04,0.01,0.9904823005646811,0.1083360630087248,100.96091564987005
0.05,0.01,0.9882186755065111,0.1259765765606595,101.19217788385252
0.06,0.01,0.9859964459964645,0.1432646059334706,101.42024386197288
0.07,0.01,0.9838190839624329,0.1602072634498508,101.644704428013
0.08,0.01,0.9816851443060826,0.1768115221453681,101.8656547672282
0.09,0.01,0.9795930768130036,0.1930842118621089,102.08320410485015
0.1,0.01,0.977541829705229,0.2090320224281698,102.2974127154787
0.11,0.01,0.9755300225706159,0.2246615026238956,102.50837768835687
0.12,0.01,0.9735578563362189,0.2399790793820844,102.71603207674688
0.13,0.01,0.9716244376050138,0.2549910443044723,102.92042493959188
0.14,0.01,0.9697282305429891,0.2697035464832547,103.12167558946496
0.15,0.01,0.9678687696396914,0.2841226256982664,103.31979203877712
0.16,0.01,0.966045282970676,0.2982541932642333,103.51481629566165
0.17,0.01,0.9642570092489308,0.3121040404908964,103.70679086677418
0.18,0.01,0.9625020974530345,0.3256778247815007,103.89587748911843
0.19,0.01,0.9607818737010755,0.3389811328217784,104.081896981242
0.2,0.01,0.9590946191244336,0.3520148426902355,104.2649995172436
0.21,0.01,0.9574490408611079,0.3650411540457545,104.44420092589186
0.22,0.01,0.9558271493965488,0.3775525443680597,104.62142664929944
0.23,0.01,0.9542362918792827,0.3898302070581665,104.79584653299968
0.24,0.01,0.9526754590196143,0.4018792645174104,104.96754068054685
0.25,0.01,0.9511443923324009,0.4136978738622042,105.13650798569029
0.26,0.01,0.9496425193994625,0.42528556598954,105.30278284426257
0.27,0.01,0.9481719767030158,0.4366427525194604,105.466099459847
0.28,0.01,0.9467264950838987,0.4477711577550906,105.62712728467372
0.29,0.01,0.945308306421734,0.4586758461183103,105.78559325108333
0.3,0.01,0.9439169476937017,0.4693624127151179,105.94152403379636
0.31,0.01,0.9425514512635766,0.479836253506325,106.09500400847172
0.32,0.01,0.9412111019196985,0.4901026903890817,106.24609059119632
0.33,0.01,0.9398959206139565,0.5001663318453591,106.39475904382928
0.34,0.01,0.9386051176900048,0.5100310140206361,106.541076875981
0.35,0.01,0.9373382571962472,0.5197004167012498,106.68507257894132
0.36,0.01,0.9360947744729329,0.5291781413870161,106.8267901146066
0.37,0.01,0.9348740411110524,0.5384677629627352,106.9662816620246
0.38,0.01,0.9336755458556543,0.5475729957636085,107.10358694074648
0.39,0.01,0.9324989030336055,0.5564975832808872,107.23873205070804
0.4,0.01,0.9313436845408087,0.5652451894565012,107.37174864647756
0.41,0.01,0.9301578853179361,0.5731082445645503,107.50863007071013
0.42,0.01,0.9290407554689459,0.5814923181513041,107.63790437753578
0.43,0.01,0.9279435026122843,0.5897101723164834,107.7651815207356
0.44,0.01,0.9268664742205517,0.5977651082082748,107.89040577187237
0.45,0.01,0.9258076432474154,0.6056603625532424,108.0137982542835
0.46,0.01,0.9247674326192041,0.6133991128288896,108.13529593788958
0.47,0.01,0.9237454082013589,0.6209844893982013,108.2549359511424
0.48,0.01,0.9227410963175,0.6284195676760904,108.37276067911432
0.49,0.01,0.9217540943624545,0.6357073522905782,108.48880478167722
0.5,0.01,0.9207840613321499,0.6428507948565398,108.6030962083818
0.51,0.01,0.9198306503177136,0.6498527935250221,108.71566409040572
0.52,0.01,0.9188934377646641,0.6567161870203242,108.82654711656652
0.53,0.01,0.9179727879731578,0.6634437410064509,108.93569102499808
0.54,0.01,0.917066878107977,0.6700381567922928,109.04330140710395
0.55,0.01,0.916176959964312,0.6765020836761297,109.14921938649856
0.56,0.01,0.9153011464973535,0.6828381375828437,109.25365971918308
0.57,0.01,0.914442503013931,0.6890488810713464,109.35624675188195
0.58,0.01,0.9135952353532556,0.6951368148296468,109.45766366801756
0.59,0.01,0.9127617873621677,0.7011043869548177,109.55761008465812
0.6,0.01,0.9119418270752362,0.7069539985633069,109.65611734327204
0.61,0.01,0.9111326545744218,0.7126880070178696,109.75350241036932
0.62,0.01,0.9103412125795626,0.7183087208209262,109.8489210618487
0.63,0.01,0.9095599466601698,0.7238183976879617,109.94327572051944
0.64,0.01,0.9087909909528906,0.7292192518915521,110.03630207111476
0.65,0.01,0.9080340580012655,0.7345134549884174,110.12802781882068
