adhesivity,particle_size,time_throughput_100_scaled,efficiency_throughput_100,time_throughput_100
0.0,0.02,1.0,0.0,100.0
0.01,0.02,0.9988525209890519,0.030546671127432222,100.11487972316593
0.02,0.02,0.9946849575804179,0.05764408280928883,100.53434430460385
0.03,0.02,0.9906780426238082,0.08204798598483753,100.9409673955731
0.04,0.02,0.9867875199014832,0.10425228552908697,101.33893871092289
0.05,0.02,0.9829762531289311,0.12467474885116452,101.73185738891253
0.06,0.02,0.9792134556030672,0.14366541063728652,102.12277969404853
0.07,0.02,0.9754740038488571,0.16151441636780892,102.51426445547216
0.08,0.02,0.9717378189691902,0.17845931181743163,102.90841629080465
0.09,0.02,0.967989303601394,0.1946917877641259,103.30692666535782
0.1,0.02,0.9642168256118949,0.21036389108406459,103.71111283661712
0.11,0.02,0.9604122421208968,0.2255937152827726,104.12195473390476
0.12,0.02,0.9565704592981497,0.24047058529350462,104.54012982313036
0.13,0.02,0.9526890247325583,0.2550597530497442,104.96604600653639
0.14,0.02,0.9487677501522006,0.2694066218978008,105.39987260734577
0.15,0.02,0.944808362938965,0.2835405193466837,105.84156948921931
0.16,0.02,0.940814185311288,0.2974780389457031,106.29091436043018
0.17,0.02,0.9367898402958874,0.3112259732265908,106.7475283126627
0.18,0.02,0.9327409837221359,0.3247838606384782,107.21089964434334
0.19,0.02,0.9286740614899095,0.33814617023417803,107.68040601841075
0.2,0.02,0.9245960913153433,0.35130414852947867,108.1553350044327
0.21,0.02,0.9205144680747115,0.36424735344952386,108.634903054977
0.22,0.02,0.9164367917647191,0.37696490059504695,109.11827296614412
0.23,0.02,0.9123707169931838,0.3894464472049587,109.60456987216863
0.24,0.02,0.908323822818392,0.401682939160522,110.09289582399707
0.25,0.02,0.9043035016758306,0.4136671461716336,110.58234300174966
0.26,0.02,0.9003168660719748,0.4253940099103528,111.07200561097298
0.27,0.02,0.8963706716884453,0.4368608293151237,111.56099051259159
0.28,0.02,0.8924712555263662,0.44806730658674354,112.04842663646517
0.29,0.02,0.8886244877289547,0.45901547654110314,112.53347322845966
0.3,0.02,0.8848357357481794,0.46970954098243545,113.01532698093874
0.31,0.02,0.8811098395659258,0.4801556286239031,113.49322809658383
0.32,0.02,0.8774510967384951,0.49036149982073657,113.96646533544967
0.33,0.02,0.8738632561022375,0.5003362140069109,114.43438009516277
0.34,0.02,0.8703495190546081,0.5100897762526982,114.89636957417072
0.35,0.02,0.8669125474060863,0.5196327778015511,115.35188906794907
0.36,0.02,0.8635544768815719,0.5289760438158825,115.80045344807357
0.37,0.02,0.8602769354328852,0.5381302998783933,116.24163787406519
0.38,0.02,0.8570810656048923,0.5471058670754886,116.67507778791513
0.39,0.02,0.8539675502750781,0.5559123937491842,117.10046824119749
0.4,0.02,0.850936641158862,0.5645586302620839,117.51756260467684
0.41,0.02,0.8479881895397671,0.5730522513942028,117.92617071031792
0.42,0.02,0.8451216787440925,0.581399729299655,118.32615647560563
0.43,0.02,0.8423362579337331,0.5896062583136515,118.71743506008147
0.44,0.02,0.8396307768380588,0.5976757313348572,119.09996960400511
0.45,0.02,0.8370038210864711,0.6056107660326039,119.47376759904776
0.46,0.02,0.8344537478375686,0.6134127777611463,119.83887694092495
0.47,0.02,0.8319787214291577,0.6210820948210783,120.19538171387585
0.48,0.02,0.8295767487960818,0.6286181106072996,120.54339775689759
0.49,0.02,0.8272457144205536,0.6360194662397144,120.88306806164026
0.5,0.02,0.8249834145928815,0.6432842565006965,121.21455805187149
0.51,0.02,0.8227875907698303,0.6504102513149029,121.53805079441746
0.52,0.02,0.8206559618239264,0.6573951246143473,121.85374219148758
0.53,0.02,0.8185862549804065,0.664236682242559,122.16183620429051
0.54,0.02,0.8165762352398069,0.6709330805741328,122.46254015784899
0.55,0.02,0.8146237330839395,0.6774830277640466,122.75606017692087
0.56,0.02,0.8127266702616947,0.6838859599974424,123.04259680293303
0.57,0.02,0.8108830834491848,0.6901421857821352,123.32234084183685
0.58,0.02,0.8090911455765941,0.6962529922117778,123.59546949279192
0.59,0.02,0.8073491846120114,0.702220708216262,123.86214280758466
0.6,0.02,0.8056556995906838,0.7080487210966514,124.12250053069238
0.61,0.02,0.8040093736767885,0.7137414441019762,124.37665936989433
0.62,0.02,0.8024090840438037,0.7193042344188701,124.62471074734364
0.63,0.02,0.8008539083590984,0.7247432626897695,124.86671908100442
0.64,0.02,0.7993431276581119,0.7300653370243769,125.10272064635944
0.65,0.02,0.7978762253933044,0.7352776863778193,125.3327230683006
0.66,0.02,0.7964528824427582,0.7403877101052733,125.55670549310503
0.67,0.02,0.7950729678623785,0.7454027024117086,125.77461949040796
0.68,0.02,0.7937365251638895,0.7503295622460929,125.98639073507692
0.69,0.02,0.7924437538977216,0.7551745008794261,126.19192151889521
0.7,0.02,0.7911949863150872,0.759942760884896,126.39109414196386
0.71,0.02,0.7899906588767495,0.7646383614329854,126.58377523372909
0.72,0.02,0.7888312783668536,0.7692638856367314,126.76982105353844
0.73,0.02,0.7877173823584694,0.7738203260373656,126.9490838206394
0.74,0.02,0.786649493763346,0.7783070041144659,127.12141912352618
0.75,0.02,0.7856280691818718,0.7827215788120573,127.28669445853282
0.76,0.02,0.7846534407505715,0.7870601573841033,127.44479894760107
0.77,0.02,0.7837257511651247,0.791317519237423,127.59565428510567
0.78,0.02,0.7828448815370388,0.7954874597495082,127.73922696366085
0.79,0.02,0.7820103717243322,0.7995632561075458,127.87554182881243
0.8,0.02,0.7812213327626523,0.8035382508847978,128.00469701251953
0.81,0.02,0.7804763510162851,0.807406541164993,128.1268802953306
0.82,0.02,0.779773383672198,0.8111637513533897,128.2423869471776
0.83,0.02,0.7791096452199125,0.8148078561655571,128.35163909666895
0.84,0.02,0.7784814846005977,0.8183400064533392,128.45520667881433
0.85,0.02,0.77788425277865,0.8217652942633852,128.5538300110767
0.86,0.02,0.7773121605960761,0.825093374594771,128.64844404764713
0.87,0.02,0.7767581269243545,0.828338839462261,128.74020436188962
0.88,0.02,0.7762136173432005,0.8315212147773384,128.83051490680728
0.89,0.02,0.7756684738622358,0.8346644219945593,128.92105760348423
0.9,0.02,0.7751107365773051,0.8377955140344814,129.01382380738906
0.91,0.02,0.7745264586328428,0.8409424584495032,129.11114770244936
0.92,0.02,0.7738995164630412,0.8441306997228385,129.21574167280883
0.93,0.02,0.7732114180244806,0.8473781866587861,129.33073370216826
0.94,0.02,0.7724411126264968,0.8506884996291281,129.45970685062903
0.95,0.02,0.771564807025312,0.8540416555848499,129.60674085893007
0.96,0.02,0.7705557936790705,0.8573821057841958,129.77645593000253
0.97,0.02,0.7693842984605601,0.8606033717147302,129.97405873772996
0.98,0.02,0.7680173566740559,0.8635286881469274,130.20539071285557
0.99,0.02,0.7664187278870296,0.8658869382878852,130.47697865590263
1.0,0.02,0.7645488618031292,0.8672830739097454,130.79608772702605
0.0,0.04,1.0,0.0,100.0
0.01,0.04,0.9887304488611836,0.030597468583242818,101.13980014995964
0.02,0.04,0.9812212593713526,0.057683168192766004,101.91381306196713
0.03,0.04,0.9733952901780888,0.08207642276853482,102.7331866190809
0.04,0.04,0.9653094791947726,0.10427141797882765,103.59372010250692
0.05,0.04,0.957017689925974,0.12468611219631597,104.49127644415337
0.06,0.04,0.9485703927983342,0.14367065366816187,105.42180186015986
0.07,0.04,0.9400144461036162,0.16151523557183262,106.38134383413207
0.08,0.04,0.9313929654731008,0.1784573961683362,107.36606749998914
0.09,0.04,0.9227452701905471,0.19468877328512968,108.37227047433143
0.1,0.04,0.9141068945994565,0.21036132431671917,109.39639618823576
0.11,0.04,0.9055096532465688,0.22559302480797078,110.43504576838582
0.12,0.04,0.8969817491110215,0.24047306046994155,111.48498851744505
0.13,0.04,0.8885479151931636,0.2550665291578769,112.54317104357929
0.14,0.04,0.8802295807895805,0.26941867090392435,113.60672508903683
0.15,0.04,0.8720450548887556,0.28355864553200816,114.67297410769301
0.16,0.04,0.864009720228347,0.2975028786791072,115.73943864146719
0.17,0.04,0.8561362326183927,0.3112579981968316,116.80384054551888
0.18,0.04,0.8484347211259043,0.32482338390180043,117.86410611213117
0.19,0.04,0.8409129856170849,0.33819335447627896,118.91836814318816
0.2,0.04,0.8335766889542529,0.3513590159862593,119.96496702115437
0.21,0.04,0.8264295418426114,0.36430979697875854,121.00245082846325
0.22,0.04,0.8194734789192608,0.3770346954406112,122.02957456522222
0.23,0.04,0.8127088251786738,0.38952326304621615,123.04529851514167
0.24,0.04,0.8061344522427784,0.40176635209148115,124.04878580959549
0.25,0.04,0.7997479243185117,0.4137566503071105,125.0393992397203
0.26,0.04,0.7935456339503698,0.42548902836919045,126.01669736646076
0.27,0.04,0.787522927879172,0.436960724383021,126.98042997846888
0.28,0.04,0.7816742234696356,0.4481713889130247,127.93053294776394
0.29,0.04,0.7759931162763789,0.45912301327427296,128.86712253306104
0.3,0.04,0.7704724793878718,0.46981976279814874,129.79048918067576
0.31,0.04,0.7651045552269798,0.48026773564555486,130.70109087291146
0.32,0.04,0.75988104050064,0.49047466647672133,131.5995460738381
0.33,0.04,0.754793164984659,0.5004495929092608,132.48662632236804
0.34,0.04,0.7498317648066275,0.5102025012187783,133.36324852253864
0.35,0.04,0.744987350853992,0.519743966173328,134.23046698090678
0.36,0.04,0.740250172888214,0.5290847982595793,135.08946524096402
0.37,0.04,0.735610279892144,0.5382357098705796,135.94154776447945
0.38,0.04,0.7310575771182667,0.547207010299564,136.78813150967795
0.39,0.04,0.7265818802420707,0.5560083376384392,137.63073745616066
0.4,0.04,0.7221729669589757,0.5646484339315686,138.47098212647535
0.41,0.04,0.717820626296344,0.573134968203595,139.3105691542446
0.42,0.04,0.7135147058453326,0.581474410282626,140.1512809487585
0.43,0.04,0.7092451570518082,0.5896719566959797,140.9949705059393
0.44,0.04,0.7050020786423118,0.5977315083435942,141.84355341558611
0.45,0.04,0.700775758201154,0.6056556981718763,142.69900011480638
0.46,0.04,0.6965567118590846,0.6134459656970249,143.56332843754188
0.47,0.04,0.6923357220035714,0.6211026739780551,144.43859651009623
0.48,0.04,0.6881038728763996,0.6286252635332151,145.32689604257243
0.49,0.04,0.6838525838869286,0.636012436744397,146.23034606612595
0.5,0.04,0.6795736404395675,0.6432623655163309,147.151087165943
0.51,0.04,0.6752592220525837,0.6503729143651772,148.09127625984917
0.52,0.04,0.6709019275326205,0.6573418707134707,149.05308197245836
0.53,0.04,0.6664947969657006,0.6641671739771774,150.0386806547662
0.54,0.04,0.6620313302910742,0.6708471350507289,151.05025309909905
0.55,0.04,0.6575055022390969,0.677380638033667,152.0899819993229
0.56,0.04,0.65291177343802,0.6837673164985024,153.16005020622111
0.57,0.04,0.6482450975267381,0.6900076972751198,154.26263982794765
0.58,0.04,0.6435009241504216,0.6961033056147049,155.39993222546562
0.59,0.04,0.6386751977627323,0.7020567266915546,156.5741089528734
0.6,0.04,0.6337643522107759,0.7078716196916152,157.7873536925318
0.61,0.04,0.6287653011360181,0.7135526822037467,159.0418552348954
0.62,0.04,0.6236754242845847,0.7191055642598049,160.3398115529557
0.63,0.04,0.6184925498823176,0.7245367331296667,161.6834350212097
0.64,0.04,0.6132149332923025,0.7298532918434891,163.0749588290486
0.65,0.04,0.6078412322336237,0.7350627563485678,164.51664463848843
0.66,0.04,0.6023704788988414,0.740172798167534,166.01079153613935
0.67,0.04,0.5968020493624783,0.7451909613656572,167.55974632932808
0.68,0.04,0.5911356307228348,0.7501243645014445,169.16591523627326
0.69,0.04,0.5853711864634895,0.7549793999600344,170.83177702023286
0.7,0.04,0.579508920558438,0.7597614445975499,172.55989761751383
0.71,0.04,0.573549240874983,0.7644745968659369,174.35294630927265
0.72,0.04,0.5674927224513717,0.7691214564635932,176.2137134869936
0.73,0.04,0.5613400712410163,0.7737029629791569,178.1451300615668
0.74,0.04,0.5550920889223944,0.7782183098517795,180.15028856586835
0.75,0.04,0.5487496393732156,0.7826649491580885,182.23246600074393
0.76,0.04,0.5423136173993607,0.7870387011255663,184.39514847431875
0.77,0.04,0.535784920293945,0.7913339797420765,186.64205768452294
0.78,0.04,0.529164422779475,0.7955441422240729,188.97717929475053
0.79,0.04,0.5224529558569979,0.7996619652825662,191.4047932525647
0.8,0.04,0.5156512900504443,0.8036802449153545,193.92950610133713
0.81,0.04,0.5087601234918182,0.8075925086677519,196.5562853347491
0.82,0.04,0.5017800752437745,0.811393819774408,199.2904958440569
0.83,0.04,0.49471168419991773,0.8150816410885814,202.137938508016
0.84,0.04,0.48755541383945145,0.8186567130335466,205.1048909753862
0.85,0.04,0.48031166304129747,0.8221238837173378,208.1981506899239
0.86,0.04,0.472980783082756,0.8254928106023972,211.42508020775827
0.87,0.04,0.4655631008585468,0.8287784314584731,214.79365485707436
0.88,0.04,0.45805894825734295,0.832001077443535,218.3125127899888
0.89,0.04,0.45046869752398033,0.8351860728085815,221.9910074765552
0.9,0.04,0.4427928023167624,0.8383626335333209,225.83926269077566
0.91,0.04,0.43503184404052697,0.8415618409009217,229.86823003854434
0.92,0.04,0.4271865828986865,0.8448134252167411,234.08974907743405
