adhesivity_throughput_100,particle_size,weight_coefficient
0.18,0.04,4.6
0.11,0.06,4.6
0.08,0.08,4.6
0.07,0.1,4.6
0.34,0.02,4.7
0.18,0.04,4.7
0.11,0.06,4.7
0.08,0.08,4.7
0.06,0.1,4.7
0.33,0.02,4.8
0.17,0.04,4.8
0.1,0.06,4.8
0.08,0.08,4.8
0.06,0.1,4.8
0.33,0.02,4.9
0.17,0.04,4.9
0.1,0.06,4.9
0.07,0.08,4.9
0.06,0.1,4.9
0.32,0.02,5.0
0.16,0.04,5.0
0.1,0.06,5.0
0.07,0.08,5.0
0.06,0.1,5.0
0.31,0.02,5.1
0.16,0.04,5.1
0.1,0.06,5.1
0.07,0.08,5.1
0.06,0.1,5.1
0.31,0.02,5.2
0.15,0.04,5.2
0.09,0.06,5.2
0.07,0.08,5.2
0.06,0.1,5.2
0.3,0.02,5.3
0.15,0.04,5.3
0.09,0.06,5.3
0.07,0.08,5.3
0.06,0.1,5.3
0.29,0.02,5.4
0.15,0.04,5.4
0.09,0.06,5.4
0.07,0.08,5.4
0.06,0.1,5.4
0.29,0.02,5.5
0.14,0.04,5.5
0.09,0.06,5.5
0.07,0.08,5.5
0.06,0.1,5.5
0.28,0.02,5.6
0.14,0.04,5.6
0.09,0.06,5.6
0.07,0.08,5.6
0.06,0.1,5.6
0.28,0.02,5.7
0.14,0.04,5.7
0.09,0.06,5.7
0.06,0.08,5.7
0.05,0.1,5.7
0.28,0.02,5.8
0.14,0.04,5.8
0.08,0.06,5.8
0.06,0.08,5.8
0.05,0.1,5.8
0.27,0.02,5.9
0.13,0.04,5.9
0.08,0.06,5.9
0.06,0.08,5.9
0.05,0.1,5.9
0.27,0.02,6.0
0.13,0.04,6.0
0.08,0.06,6.0
0.06,0.08,6.0
0.05,0.1,6.0
0.26,0.02,6.1
0.13,0.04,6.1
0.08,0.06,6.1
0.06,0.08,6.1
0.05,0.1,6.1
0.26,0.02,6.2
0.13,0.04,6.2
0.08,0.06,6.2
0.06,0.08,6.2
0.05,0.1,6.2
0.26,0.02,6.3
0.12,0.04,6.3
0.08,0.06,6.3
0.06,0.08,6.3
0.05,0.1,6.3
0.25,0.02,6.4
0.12,0.04,6.4
0.08,0.06,6.4
0.06,0.08,6.4
0.05,0.1,6.4
0.25,0.02,6.5
0.12,0.04,6.5
0.08,0.06,6.5
0.06,0.08,6.5
0.05,0.1,6.5
0.25,0.02,6.6
0.12,0.04,6.6
0.07,0.06,6.6
0.06,0.08,6.6
0.05,0.1,6.6
0.24,0.02,6.7
0.12,0.04,6.7
0.07,0.06,6.7
0.06,0.08,6.7
0.05,0.1,6.7
0.24,0.02,6.8
0.11,0.04,6.8
0.07,0.06,6.8
0.05,0.08,6.8
0.05,0.1,6.8
0.24,0.02,6.9
0.11,0.04,6.9
0.07,0.06,6.9
0.05,0.08,6.9
0.05,0.1,6.9
0.23,0.02,7.0
0.11,0.04,7.0
0.07,0.06,7.0
0.05,0.08,7.0
0.05,0.1,7.0
0.23,0.02,7.1
0.11,0.04,7.1
0.07,0.06,7.1
0.05,0.08,7.1
0.05,0.1,7.1
0.23,0.02,7.2
0.11,0.04,7.2
0.07,0.06,7.2
0.05,0.08,7.2
0.05,0.1,7.2
0.23,0.02,7.3
0.11,0.04,7.3
0.07,0.06,7.3
0.05,0.08,7.3
0.04,0.1,7.3
0.22,0.02,7.4
0.1,0.04,7.4
0.07,0.06,7.4
0.05,0.08,7.4
0.04,0.1,7.4
0.22,0.02,7.5
0.1,0.04,7.5
0.07,0.06,7.5
0.05,0.08,7.5
0.04,0.1,7.5
0.22,0.02,7.6
0.1,0.04,7.6
0.07,0.06,7.6
0.05,0.08,7.6
0.04,0.1,7.6
0.22,0.02,7.7
0.1,0.04,7.7
0.07,0.06,7.7
0.05,0.08,7.7
0.04,0.1,7.7
0.21,0.02,7.8
0.1,0.04,7.8
0.06,0.06,7.8
0.05,0.08,7.8
0.04,0.1,7.8
0.21,0.02,7.9
0.1,0.04,7.9
0.06,0.06,7.9
0.05,0.08,7.9
0.04,0.1,7.9
0.21,0.02,8.0
0.1,0.04,8.0
0.06,0.06,8.0
0.05,0.08,8.0
0.04,0.1,8.0
0.21,0.02,8.1
0.1,0.04,8.1
0.06,0.06,8.1
0.05,0.08,8.1
0.04,0.1,8.1
0.2,0.02,8.2
0.1,0.04,8.2
0.06,0.06,8.2
0.05,0.08,8.2
0.04,0.1,8.2
0.2,0.02,8.3
0.09,0.04,8.3
0.06,0.06,8.3
0.05,0.08,8.3
0.04,0.1,8.3
0.2,0.02,8.4
0.09,0.04,8.4
0.06,0.06,8.4
0.05,0.08,8.4
0.04,0.1,8.4
0.2,0.02,8.5
0.09,0.04,8.5
0.06,0.06,8.5
0.05,0.08,8.5
0.04,0.1,8.5
0.2,0.02,8.6
0.09,0.04,8.6
0.06,0.06,8.6
0.04,0.08,8.6
0.04,0.1,8.6
0.19,0.02,8.7
0.09,0.04,8.7
0.06,0.06,8.7
0.04,0.08,8.7
0.04,0.1,8.7
0.19,0.02,8.8
0.09,0.04,8.8
0.06,0.06,8.8
0.04,0.08,8.8
0.04,0.1,8.8
0.19,0.02,8.9
0.09,0.04,8.9
0.06,0.06,8.9
0.04,0.08,8.9
0.04,0.1,8.9
0.19,0.02,9.0
0.09,0.04,9.0
0.06,0.06,9.0
0.04,0.08,9.0
0.04,0.1,9.0
0.19,0.02,9.1
0.09,0.04,9.1
0.06,0.06,9.1
0.04,0.08,9.1
0.04,0.1,9.1
0.19,0.02,9.2
0.09,0.04,9.2
0.06,0.06,9.2
0.04,0.08,9.2
0.04,0.1,9.2
0.18,0.02,9.3
0.09,0.04,9.3
0.06,0.06,9.3
0.04,0.08,9.3
0.04,0.1,9.3
0.18,0.02,9.4
0.08,0.04,9.4
0.05,0.06,9.4
0.04,0.08,9.4
0.04,0.1,9.4
0.18,0.02,9.5
0.08,0.04,9.5
0.05,0.06,9.5
0.04,0.08,9.5
0.04,0.1,9.5
0.18,0.02,9.6
0.08,0.04,9.6
0.05,0.06,9.6
0.04,0.08,9.6
0.04,0.1,9.6
0.18,0.02,9.7
0.08,0.04,9.7
0.05,0.06,9.7
0.04,0.08,9.7
0.04,0.1,9.7
0.18,0.02,9.8
0.08,0.04,9.8
0.05,0.06,9.8
0.04,0.08,9.8
0.03,0.1,9.8
0.17,0.02,9.9
0.08,0.04,9.9
0.05,0.06,9.9
0.04,0.08,9.9
0.03,0.1,9.9
0.17,0.02,10.0
0.08,0.04,10.0
0.05,0.06,10.0
0.04,0.08,10.0
0.03,0.1,10.0
