adhesivity,particle_size,time_throughput_100_scaled,efficiency_throughput_100,gamma,weight_coefficient,time_throughput_100
0.61,0.04,0.6287653011360181,0.7135526822037467,0.01912655987382588,7.8,159.0418552348954
0.62,0.04,0.6236754242845847,0.7191055642598049,0.01809130820235136,7.8,160.3398115529557
0.63,0.04,0.6184925498823176,0.7245367331296667,0.01707926964984553,7.8,161.6834350212097
0.64,0.04,0.6132149332923025,0.7298532918434891,0.01609217720293211,7.8,163.0749588290486
0.65,0.04,0.6078412322336237,0.7350627563485678,0.015131697144460363,7.8,164.51664463848843
0.66,0.04,0.6023704788988414,0.740172798167534,0.014199394399901054,7.8,166.01079153613935
0.67,0.04,0.5968020493624783,0.7451909613656572,0.013296702861050846,7.8,167.55974632932808
0.68,0.04,0.5911356307228348,0.7501243645014445,0.012424901154812686,7.8,169.16591523627326
0.69,0.04,0.5853711864634895,0.7549793999600344,0.011585094092524001,7.8,170.83177702023286
0.7,0.04,0.579508920558438,0.7597614445975499,0.010778199805978614,7.8,172.55989761751383
0.71,0.04,0.573549240874983,0.7644745968659369,0.010004942361639613,7.8,174.35294630927265
0.72,0.04,0.5674927224513717,0.7691214564635932,0.009265849455381649,7.8,176.2137134869936
0.73,0.04,0.5613400712410163,0.7737029629791569,0.008561254634830512,7.8,178.1451300615668
0.74,0.04,0.5550920889223944,0.7782183098517795,0.007891303380803866,7.8,180.15028856586835
0.75,0.04,0.5487496393732156,0.7826649491580885,0.00725596230673241,7.8,182.23246600074393
0.76,0.04,0.5423136173993607,0.7870387011255663,0.006655030705579893,7.8,184.39514847431875
0.77,0.04,0.535784920293945,0.7913339797420765,0.006088153685694865,7.8,186.64205768452294
0.78,0.04,0.529164422779475,0.7955441422240729,0.005554836185722974,7.8,188.97717929475053
0.79,0.04,0.5224529558569979,0.7996619652825662,0.005054457238388373,7.8,191.4047932525647
0.8,0.04,0.5156512900504443,0.8036802449153545,0.004586283956329088,7.8,193.92950610133713
0.81,0.04,0.5087601234918182,0.8075925086677519,0.004149484832305698,7.8,196.5562853347491
0.82,0.04,0.5017800752437745,0.811393819774408,0.0037431420731401936,7.8,199.2904958440569
0.83,0.04,0.49471168419991773,0.8150816410885814,0.0033662628136517984,7.8,202.137938508016
0.84,0.04,0.48755541383945145,0.8186567130335466,0.003017789176619621,7.8,205.1048909753862
0.85,0.04,0.48031166304129747,0.8221238837173378,0.0026966072509385366,7.8,208.1981506899239
0.86,0.04,0.472980783082756,0.8254928106023972,0.002401555147443759,7.8,211.42508020775827
0.87,0.04,0.4655631008585468,0.8287784314584731,0.002131430356297045,7.8,214.79365485707436
0.88,0.04,0.45805894825734295,0.832001077443535,0.0018849966685300617,7.8,218.3125127899888
0.89,0.04,0.45046869752398033,0.8351860728085815,0.001660990936130754,7.8,221.9910074765552
0.9,0.04,0.4427928023167624,0.8383626335333209,0.0014581299298675357,7.8,225.83926269077566
0.91,0.04,0.43503184404052697,0.8415618409009217,0.001275117513662564,7.8,229.86823003854434
0.92,0.04,0.4271865828986865,0.8448134252167411,0.00111065229178704,7.8,234.08974907743405
0.93,0.04,0.41925801296273674,0.8481410492327218,0.0009634358052007105,7.8,238.5166100782143
0.0,0.06,1.0,0.0,0.0,7.8,100.0
0.01,0.06,0.9831494267833574,0.03057314100704976,0.0267776460056001,7.8,101.71393816215445
0.02,0.06,0.9692545547631002,0.05766847513766611,0.04520158901091644,7.8,103.17207126712078
0.03,0.06,0.9551835211107176,0.08207049087722218,0.057393701904571284,7.8,104.69192337375841
0.04,0.06,0.941055220099254,0.10427376041234251,0.06491915808127599,7.8,106.26368980712195
0.05,0.06,0.9269698427267211,0.12469653830098701,0.06901859581067198,7.8,107.87837466842045
0.06,0.06,0.9130103667127646,0.14368919085683304,0.07065365401097685,7.8,109.52778155197032
0.07,0.06,0.8992441591754876,0.16154206252019276,0.0705555373101884,7.8,111.20450322600871
0.08,0.06,0.8857246056344377,0.17849278643072108,0.0692708640052836,7.8,112.90191032727466
0.09,0.06,0.87249270263193,0.19473304844192385,0.06720192725784589,7.8,114.61413911926553
0.1,0.06,0.8595785710349275,0.21041481577749863,0.06464037115773742,7.8,116.33607836407624
0.11,0.06,0.8470028629713519,0.2256560434107736,0.0617943857799987,7.8,118.06335535772834
0.12,0.06,0.8347780476735305,0.2405458730375196,0.05881009281489632,7.8,119.79232117889681
0.13,0.06,0.8229095707110619,0.25514934119638644,0.0557880183882102,7.8,121.52003520094163
0.14,0.06,0.8113968877137859,0.269511614658171,0.05279557434289745,7.8,123.24424891715168
0.15,0.06,0.8002343782200323,0.2836617726439177,0.04987638976295708,7.8,124.96338912910839
0.16,0.06,0.7894121481952519,0.2976161567324096,0.04705721130015296,7.8,126.6765405480765
0.17,0.06,0.7789167314458271,0.3113813104707889,0.04435295885558583,7.8,128.3834278593294
0.18,0.06,0.7687317009272531,0.32495653169997873,0.04177040051317583,7.8,130.08439729931632
0.19,0.06,0.7588382010738982,0.3383360614425434,0.039310805129257484,7.8,131.78039779557918
0.2,0.06,0.7492154119595067,0.3515109338691296,0.03697184456795344,7.8,133.4729617193256
0.21,0.06,0.7398409554840897,0.36447051235658606,0.03474894911406985,7.8,135.16418530056694
0.22,0.06,0.7306912529840824,0.3772037369734435,0.03263626665520065,7.8,136.85670875572725
0.23,0.06,0.7217418427567311,0.3897001088752595,0.03062733601314416,7.8,138.55369617763148
0.24,0.06,0.7129676650303257,0.40195043706336403,0.02871555467501112,7.8,140.25881523778017
0.25,0.06,0.7043433209345885,0.41394737275725924,0.026894498836167943,7.8,141.97621675081785
0.26,0.06,0.6958433110527743,0.42568575625605143,0.025158137245058932,7.8,143.71051415110287
0.27,0.06,0.6874422581826292,0.4371628006222039,0.023500968354352135,7.8,145.4667629312854
0.28,0.06,0.6791151180056008,0.44837813581708674,0.021918101596800972,7.8,147.2504400928022
0.29,0.06,0.6708373804681563,0.4593337360594296,0.02040529736112461,7.8,149.0674236581944
0.3,0.06,0.6625852638203426,0.4700337521730744,0.018958975806918354,7.8,150.92397229515598
0.31,0.06,0.6543359024400408,0.480484269549129,0.017576201560239552,7.8,152.82670510222135
0.32,0.06,0.6460675288034163,0.4906930110805895,0.016254649230242443,7.8,154.78258160599762
0.33,0.06,0.6377596492514537,0.500669003046833,0.014992553329758655,7.8,156.79888201985062
0.34,0.06,0.6293932125600209,0.510422220444303,0.013788645380409352,7.8,158.88318781395134
0.35,0.06,0.6209507697591363,0.5199632266924513,0.012642080590266514,7.8,161.0433626465903
0.36,0.06,0.6124166231798319,0.5293028210057757,0.011552356392115107,7.8,163.28753370666703
0.37,0.06,0.6037769623482732,0.5384517050296809,0.010519225223776782,7.8,165.6240735172628
0.38,0.06,0.5950199841098978,0.5474201786066902,0.00954260413107689,7.8,168.0615822502029
0.39,0.06,0.5861359942623691,0.5562178727877,0.008622483999780427,7.8,170.60887060151694
0.4,0.06,0.5771174880128633,0.5648535264485376,0.007758841404553563,7.8,173.27494327770415
0.41,0.06,0.5679592067556056,0.5733348111333146,0.006951556140501985,7.8,176.06898314271058
0.42,0.06,0.5586581689869352,0.5816682070416767,0.006200337429637352,7.8,179.00033607552706
0.43,0.06,0.5492136736283801,0.5898589314256361,0.005504661541726837,7.8,182.07849658831324
0.44,0.06,0.5396272745973267,0.5979109190820425,0.0048637231279464455,7.8,185.31309425495704
0.45,0.06,0.529902726127565,0.6058268531370049,0.004276401950275875,7.8,188.7138809999757
0.46,0.06,0.5200458990701439,0.6136082429371105,0.003741245934779344,7.8,192.29071929766718
0.47,0.06,0.5100646691661435,0.621255544606277,0.0032564706361478788,7.8,196.05357133141678
0.48,0.06,0.4999687790419441,0.6287683187128835,0.0028199743399480275,7.8,200.01248916306963
0.49,0.06,0.48976967639867913,0.6361454185358396,0.0024293672186795224,7.8,204.1776059622741
0.5,0.06,0.4794803315165449,0.6433852016340528,0.0020820122652164944,7.8,208.55912834570444
0.51,0.06,0.4691150377411845,0.650485756824735,0.0017750752081780192,7.8,213.16732987606977
0.52,0.06,0.45868919903868144,0.6574451382735685,0.0015055803058629256,7.8,218.01254577081716
0.53,0.06,0.4482191089802716,0.6642615982032031,0.0012704688341982112,7.8,223.10516887043633
0.54,0.06,0.43772172563827894,0.6709338097428085,0.0010666572223809235,7.8,228.45564691627214
0.55,0.06,0.4272144468400573,0.67746107167678,0.0008910921194840856,7.8,234.07448118775463
0.56,0.06,0.41671489004416645,0.683843487304748,0.0007408001521529982,7.8,239.9722265489512
0.57,0.06,0.40624068078716974,0.6900821103003584,0.0006129307039090704,7.8,246.15949295435084
0.58,0.06,0.3958092532209384,0.6961790513456368,0.0005047906540761863,7.8,252.6469484637859
0.59,0.06,0.3854376657440399,0.7021375404167242,0.0004138706063224533,7.8,259.44532381640056
0.0,0.08,1.0,0.0,0.0,7.8,100.0
0.01,0.08,0.9859326667623598,0.030539812793973605,0.027344813735176717,7.8,101.4268046603867
0.02,0.08,0.9658165877787578,0.057647571199953146,0.043950048940077334,7.8,103.53932751350432
0.03,0.08,0.9458890580650466,0.08205929227670886,0.053171797212214565,7.8,105.72064360757541
0.04,0.08,0.9262733980962771,0.10427005644735714,0.05737534410125336,7.8,107.9594860497181
0.05,0.08,0.9070600965845885,0.12469853634396977,0.05826699737392853,7.8,110.24627847320856
0.06,0.08,0.888311715335249,0.143695438219904,0.05704965485072505,7.8,112.57309599058928
0.07,0.08,0.8700673921089815,0.1615513794398981,0.05455357724707929,7.8,114.93362572479255
0.08,0.08,0.8523468695742784,0.17850420926772578,0.05134003390055248,7.8,117.32312696818724
0.09,0.08,0.8351540316234216,0.19474578220035427,0.047780138011270526,7.8,119.73839101945555
0.1,0.08,0.8184799630997082,0.21042819506200833,0.04411301445924292,7.8,122.17770074820743
0.11,0.08,0.8023055698728506,0.22566950095720886,0.04048772410519539,7.8,124.6407899372405
0.12,0.08,0.7866038070914739,0.24055891497529686,0.036992918837849595,7.8,127.128802452352
0.13,0.08,0.7713415674452933,0.25516152822727656,0.03367749153745141,7.8,129.64425128961096
0.14,0.08,0.756481280745335,0.2695225483670467,0.03056475743696601,7.8,132.19097754999757
0.15,0.08,0.7419822727943195,0.28367108619202597,0.02766206520814964,7.8,134.7741093913175
0.16,0.08,0.7278019265709463,0.2976235092227083,0.024967220678970323,7.8,137.40002100729802
0.17,0.08,0.7138966830000939,0.3113863843176539,0.0224727105750036,7.8,140.07629168377414
0.18,0.08,0.7002229125519546,0.32495903238190926,0.02016842060562251,7.8,142.81166498187144
0.19,0.08,0.6867376829382359,0.3383357190660846,0.018043330523704302,7.8,145.61600809809332
0.2,0.08,0.6733994424572373,0.3515075060248192,0.01608651886536289,7.8,148.5002714512201
0.21,0.08,0.6601686332095396,0.36446378780296007,0.014287705602487344,7.8,151.47644854592735
0.22,0.08,0.6470082435483294,0.3771935397426438,0.01263748914523523,7.8,154.55753616303085
0.23,0.08,0.633884304810616,0.38968630245319,0.011127385389860297,7.8,157.75749492626537
0.24,0.08,0.6207663336600443,0.40193292835819977,0.00974974373421274,7.8,161.09121029550528
0.25,0.08,0.607627718320867,0.4139261156319752,0.008497593040351347,7.8,164.57445403633395
0.26,0.08,0.5944460446569367,0.4256607544630569,0.007364455725142093,7.8,168.2238462158688
0.27,0.08,0.581203356503521,0.4371341100406021,0.006344157895706872,7.8,172.0568177747511
